id,start_date,result,motion:title,motion:text,motion:article,motion:legislative_session,motion:tramite,motion:type,motion:classification,motion:observations
1282,2002-03-19T11:28:00,,Boletín N°1625-03,"Modifica el artículo 158 de la Ley General de Pesca y Acuicultura, excluyendo a las zonas marítimas del Sistema de Areas Silvestres Protegidas del Estado.",Observaciones del Presidente de la República,3,Segundo Trámite Constitucional/Primer Informe,General y particular,Quorum Simple,
1287,2002-03-20T12:25:00,,Boletín N°2839-04,Modifica dependencia del Liceo Manuel de Salas a la Universidad de Chile.,Clausura del Debate,4,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
1288,2002-03-20T12:26:00,,Boletín N°2839-04,Modifica dependencia del Liceo Manuel de Salas a la Universidad de Chile.,,4,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
1289,2002-03-20T12:33:00,,Boletín N°2839-04,Modifica dependencia del Liceo Manuel de Salas a la Universidad de Chile.,Indicación a artículos 1º y 2º,4,Primer Trámite Constitucional/Primer Informe,Particular,Quorum Simple,
1291,2002-03-20T12:55:00,,Proposición integración de las Comisiones,,,4,,General,Quorum Simple,
1295,2002-03-21T11:38:00,,Boletín N°2223-01(S),Autoriza la subdivisión de un predio rústico en favor de las personas que indica.,,5,Segundo Trámite Constitucional/Primer Informe,General,Quorum Simple,
1298,2002-03-21T11:54:00,,Proyecto de Acuerdo N°2,"Sistema de libre paso en peajes para vehículos de emergencia, servicios públicos o seguridad ciudadana",,5,,General,,
1299,2002-03-21T12:06:00,,Proyecto de Acuerdo N°3,Comisión de Economía investigue situación de Telefónica S.A.,,5,,General,,
1303,2002-04-02T12:00:00,,Boletín N°2770-05,Modifica diversas disposiciones relativas a la Zona Franca de Iquique.,,6,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
1304,2002-04-02T13:00:00,,Boletín N°2899-05,Precisa régimen tributario aplicable al mayor valor de la enajenación de acciones de sociedades anónimas abiertas.,,6,Primer Trámite Constitucional/Primer Informe,General y particular,Quorum Simple,
1305,2002-04-02T13:23:00,,Proyecto de Acuerdo N°7,Conflicto en el Medio Oriente,,6,,General,,
1307,2002-04-03T12:02:00,,Boletín N°2603-05,Modifica la ley N° 18.010 que establece normas para las operaciones de crédito y otras operaciones de dinero que indica.,Aplazamiento de la Discusión,7,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
1308,2002-04-03T12:10:00,,Proyecto de Acuerdo N°,Proyecto de ley sobre apoyo y fomento de la cultura,,7,,General,,
1322,2002-04-04T12:25:00,,Boletín N°2888-01,Posterga la vigencia del reavalúo de bienes raíces agrícolas y falculta al presidente de la República para dictar texto refundido y actualizado que indica.,,8,Primer Trámite Constitucional/Primer Informe,General y particular,Quorum Simple,
1323,2002-04-09T13:05:00,,Boletín N°2835-13,Modifica el artículo 162 del Código del Trabajo estableciendo que el finiquito deberá suscribirse ante un funcionario de la Inspección del Trabajo.,,9,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
1324,2002-04-09T13:07:00,,Proyecto de Acuerdo N°9,Comisión de Salud investigue sistema de atención privada de urgencia pre hospitalaria,,9,,General,,
1325,2002-04-09T13:19:00,,Proyecto de Acuerdo N°10,Salvaguardias transitorias para el acero chileno frente a precios internacionales,,9,,General,,
1327,2002-04-10T11:30:00,,Boletín N°2852-07(S),"Proyecto de ley que crea nuevas salas en las Cortes de Apelaciones de Santiago, San Miguel, Valparaíso y Concepción",Cierre del debate,10,Segundo Trámite Constitucional/Primer Informe,General,Quorum Simple,
1328,2002-04-10T11:32:00,,Boletín N°2852-07(S),"Proyecto de ley que crea nuevas salas en las Cortes de Apelaciones de Santiago, San Miguel, Valparaíso y Concepción",,10,Segundo Trámite Constitucional/Primer Informe,General y particular,Ley Orgánica Constitucional,
1330,2002-04-10T12:57:00,,Proyecto de Acuerdo N°17,Situación de peajes laterales en obras viales concesionadas,,10,,General,,
1342,2002-04-30T12:05:00,,Boletín N°2850-07,Proyecto de ley que establece el sistema de jueces de turno y de dedicación exclusiva en materia penal e introduce modificaciones a la tramitación de la segunda instancia en materia penal.,,15,Segundo Trámite Constitucional/Primer Informe,General y particular,Ley Orgánica Constitucional,
1343,2002-04-30T12:41:00,,Boletín N°2223-01,Autoriza la subdivisión de un predio rústico en favor de las personas que indica.,Cierre del debate,15,Segundo Trámite Constitucional/Segundo Informe,General,Quorum Simple,
1344,2002-04-30T12:43:00,,Boletín N°2223-01,Autoriza la subdivisión de un predio rústico en favor de las personas que indica.,Indicación Nº1,15,Segundo Trámite Constitucional/Segundo Informe,Particular,Quorum Simple,
1345,2002-04-30T12:44:00,,Boletín N°2223-01,Autoriza la subdivisión de un predio rústico en favor de las personas que indica.,Indicación Nº2,15,Segundo Trámite Constitucional/Segundo Informe,Particular,Quorum Simple,
1346,2002-04-30T12:46:00,,Boletín N°2223-01,Autoriza la subdivisión de un predio rústico en favor de las personas que indica.,Indicación Nº3,15,Segundo Trámite Constitucional/Segundo Informe,Particular,Quorum Simple,
1347,2002-04-30T12:58:00,,Boletín N°2835-13,Modifica el artículo 162 del Código del Trabajo estableciendo que el finiquito deberá suscribirse ante un funcionario de la Inspección del Trabajo.,,15,Primer Trámite Constitucional/Segundo Informe,Particular,Quorum Simple,
1350,2002-04-30T13:07:00,,Proyecto de Acuerdo N°20,Mecanismo de homologación y convalidación de los estudios realizados en Cuba,,15,,General,,
1354,2002-04-30T13:23:00,,Proyecto de Acuerdo N°27,"Proyecto de ley para ampliar el segmento de beneficiarios a que se refiere el artículo 2ºde la ley Nº19.583, le y del mono",,15,,General,,
1355,2002-04-30T13:38:00,,"Petición Sr. Melero de conformidad con lo dispuesto en el artículo 48, Nº1 de la Constitución Política de la República",,,15,,General,Quorum Simple,
1356,2002-04-30T19:07:00,,"Informe de la Comisión Especial encargada de investigar los graves hechos relacionados con incendios forestales ocurridos en la Sexta, Séptima, Octava y Novena Regiones del país.",,,16,,General,Quorum Simple,
1357,2002-04-30T19:07:00,,"Informe de la Comisión de Agricultura, Silvicultura y Desarrollo Rural investigadora de los créditos otorgados por el Instituto de Desarrollo Agropecuario a partir de 1994, en adelante, tanto a sus beneficiarios como a sus organizaciones.",,,16,,General,Quorum Simple,
1381,2002-05-07T13:08:00,,Boletín N°2904-04,Modifica diversos cuerpos legales en materia de multas de tránsito.,,17,Primer Trámite Constitucional/Primer Informe,General,Ley Orgánica Constitucional,
1382,2002-05-07T13:10:00,,Boletín N°2904-04,Modifica diversos cuerpos legales en materia de multas de tránsito.,"Artículo 1º, indicación Nº1 Comisión OOPP",17,Primer Trámite Constitucional/Primer Informe,Particular,Quorum Simple,
1383,2002-05-07T13:11:00,,Boletín N°2904-04,Modifica diversos cuerpos legales en materia de multas de tránsito.,"Artículo 1º, indicación Nº2 Comisión OOPP",17,Primer Trámite Constitucional/Primer Informe,Particular,Quorum Simple,
1384,2002-05-07T13:12:00,,Boletín N°2904-04,Modifica diversos cuerpos legales en materia de multas de tránsito.,"Artículo 1º, indicación Nº3 Comisión OOPP",17,Primer Trámite Constitucional/Primer Informe,Particular,Quorum Simple,
1385,2002-05-07T13:14:00,,Boletín N°2904-04,Modifica diversos cuerpos legales en materia de multas de tránsito.,Artículo 2º,17,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
1386,2002-05-07T13:15:00,,Boletín N°2904-04,Modifica diversos cuerpos legales en materia de multas de tránsito.,Artículo 3º,17,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
1388,2002-05-07T13:17:00,,Boletín N°2904-04,Modifica diversos cuerpos legales en materia de multas de tránsito.,Artículo 4º,17,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
1390,2002-05-07T13:27:00,,Proyecto de Acuerdo N°23,Perfeccionamiento Ficha CAS-2,,17,,General,,
1391,2002-05-07T13:32:00,,Proyecto de Acuerdo N°24,Seguro obligatorio para embarcaciones menores y deportivas,,17,,General,,
