id,name,family_name,given_name,middle_names
813,Germán Becker,Becker,Germán,
945,Celso Morales,Morales,Celso,
206,Ramón Pérez,Pérez,Ramón,
931,Juan Castro,Castro,Juan,Luis
852,Jorge Insunza,Insunza,Jorge,
159,Rosa González,González,Rosa,
870,Carlos Montes,Montes,Carlos,
872,Jaime Mulet,Mulet,Jaime,
935,José Edwards,Edwards,José,Manuel
842,Pablo Galilea,Galilea,Pablo,
922,Felipe Harboe,Harboe,Felipe,
920,Marcelo Schilling,Schilling,Marcelo,
861,Juan Lobos,Lobos,Juan,
805,Claudio Alvarado,Alvarado,Claudio,
807,Rodrigo Alvarez,Alvarez,Rodrigo,
179,Pablo Longueira,Longueira,Pablo,
925,Pepe Auth,Auth,Pepe,
938,Romilio Gutiérrez,Gutiérrez,Romilio,
851,Amelia Herrera,Herrera,Amelia,
873,Adriana Muñoz,Muñoz,Adriana,
947,Ricardo Rincón,Rincón,Ricardo,
900,Alejandro Sule,Sule,Alejandro,
176,Juan Letelier,Letelier,Juan,P.
202,Cristián Pareto,Pareto,Cristián,
844,Alejandro García-Huidobro,García-Huidobro,Alejandro,
819,Guillermo Ceroni,Ceroni,Guillermo,
853,Marta Isasi,Isasi,Marta,
943,Miodrag Marinovic,Marinovic,Miodrag,
860,Roberto León,León,Roberto,
921,Lily Pérez,Pérez,Lily,
221,Leopoldo Sánchez,Sánchez,Leopoldo,
912,Alfonso Vargas,Vargas,Alfonso,
802,Sergio Aguiló,Aguiló,Sergio,
959,Enrique van Rysselberghe,van Rysselberghe,Enrique,
937,Hugo Gutiérrez,Gutiérrez,Hugo,
887,Carlos Recondo,Recondo,Carlos,
892,María Saa,Saa,María,Antonieta
933,Aldo Cornejo,Cornejo,Aldo,
858,Juan Latorre,Latorre,Juan,Carlos
826,Eduardo Díaz,Díaz,Eduardo,
846,Joaquín Godoy,Godoy,Joaquín,
836,Marcos Espinosa,Espinosa,Marcos,
958,Joaquín Tuma,Tuma,Joaquín,
936,Cristina Girardi,Girardi,Cristina,
820,Francisco Chahuán,Chahuán,Francisco,
812,Eugenio Bauer,Bauer,Eugenio,
884,Darío Paya,Paya,Darío,
800,Enrique Accorsi,Accorsi,Enrique,
885,José Pérez,Pérez,José,
874,Claudia Nogueira,Nogueira,Claudia,
165,Gonzalo Ibáñez,Ibáñez,Gonzalo,
910,Esteban Valenzuela,Valenzuela,Esteban,
829,Gonzalo Duarte,Duarte,Gonzalo,
957,Víctor Torres,Torres,Víctor,
954,Ernesto Silva,Silva,Ernesto,
906,Jorge Ulloa,Ulloa,Jorge,
823,Marcela Cubillos,Cubillos,Marcela,
169,Borrueto Victor,Victor,Borrueto,J.
822,María Cristi,Cristi,María,Angélica
811,Ramón Barros,Barros,Ramón,
173,Eduardo Lagos,Lagos,Eduardo,
808,Pedro Araya,Araya,Pedro,
961,Pedro Velásquez,Velásquez,Pedro,
903,Carolina Tohá,Tohá,Carolina,
964,Mónica Zalaquett,Zalaquett,Mónica,
928,Giovanni Calderón,Calderón,Giovanni,
205,Aníbal Pérez,Pérez,Aníbal,
164,Carlos Hidalgo,Hidalgo,Carlos,
927,Pedro Browne,Browne,Pedro,
848,Rodrigo González,González,Rodrigo,
890,Fulvio Rossi,Rossi,Fulvio,
158,Guido Girardi,Girardi,Guido,
835,Alvaro Escobar,Escobar,Alvaro,
824,Alfonso de Urresti,de Urresti,Alfonso,
809,Gonzalo Arenas,Arenas,Gonzalo,
804,Isabel Allende,Allende,Isabel,
847,Carolina Goic,Goic,Carolina,
831,Edmundo Eluchans,Eluchans,Edmundo,
814,Mario Bertolino,Bertolino,Mario,
151,Mario Escobar,Escobar,Mario,
898,Gabriel Silber,Silber,Gabriel,
862,Pablo Lorenzini,Lorenzini,Pablo,
880,Clemira Pacheco,Pacheco,Clemira,
827,Marcelo Díaz,Díaz,Marcelo,
239,Edmundo Villouta,Villouta,Edmundo,
891,Karla Rubilar,Rubilar,Karla,
934,Fuad Chahin,Chahin,Fuad,
951,David Sandoval,Sandoval,David,
830,Andrés Egaña,Egaña,Andrés,
895,Felipe Salaberry,Salaberry,Felipe,
889,Manuel Rojas,Rojas,Manuel,
894,Eduardo Saffirio,Saffirio,Eduardo,
904,Eugenio Tuma,Tuma,Eugenio,
821,Sergio Correa,Correa,Sergio,
919,Felipe Ward,Ward,Felipe,
888,Alberto Robles,Robles,Alberto,
226,Boris Tapia,Tapia,Boris,
868,Nicolás Monckeberg,Monckeberg,Nicolás,
817,Juan Bustos,Bustos,Juan,
877,Sergio Ojeda,Ojeda,Sergio,
902,Jorge Tarud,Tarud,Jorge,
962,Carlos Vilches,Vilches,Carlos,
140,Patricio Cornejo,Cornejo,Patricio,
907,Gonzalo Uriarte,Uriarte,Gonzalo,
897,Alejandra Sepúlveda,Sepúlveda,Alejandra,
838,Enrique Estay,Estay,Enrique,
913,Mario Venegas,Venegas,Mario,
939,Gustavo Hasbún,Hasbún,Gustavo,
818,Alberto Cardemil,Cardemil,Alberto,
878,Carlos Olivares,Olivares,Carlos,
911,Patricio Vallespín,Vallespín,Patricio,
856,Tucapel Jiménez,Jiménez,Tucapel,
825,Roberto Delmastro,Delmastro,Roberto,
242,Néstor Jofré,Jofré,Néstor,
220,Edmundo Salas,Salas,Edmundo,
187,Darío Molina,Molina,Darío,
926,Nino Baltolu,Baltolu,Nino,
150,Camilo Escalona,Escalona,Camilo,
234,Mario Varela,Varela,Mario,
837,Fidel Espinoza,Espinoza,Fidel,
854,Enrique Jaramillo,Jaramillo,Enrique,
875,Iván Norambuena,Norambuena,Iván,
177,Felipe Letelier,Letelier,Felipe,
213,Edgardo Riveros,Riveros,Edgardo,
924,Osvaldo Andrade,Andrade,Osvaldo,
865,Patricio Melero,Melero,Patricio,
224,Exequiel Silva,Silva,Exequiel,
172,Carlos Kuschel,Kuschel,Carlos,
867,Cristián Monckeberg,Monckeberg,Cristián,
941,Luis Lemus,Lemus,Luis,
175,Cristián Leay,Leay,Cristián,
