id,name
partido-liberal,Partido Liberal
partido-innovacion-y-unidad-pinu,Partido Innovación y Unidad PINU
partido-unificacion-democratica-ud,Partido Unificación Democrática UD
partido-nacional,Partido Nacional
democracia-cristiana-dc,Democracia Cristiana DC
