bohumin,Bohumín
brno,Brno
ceske-budejovice,České Budějovice
decin,Děčín
karlovy-vary,Karlovy Vary
liberec,Liberec
olomouc,Olomouc
ostrava,Ostrava
pardubice,Pardubice
plzen,Plzeň
praha,Praha
prostejov,Prostějov
trutnov,Trutnov
zdar-nad-sazavou,Žďár nad Sázavou
