voter_id,vote_event_id,option,weight
vg9c5tbt12odvgodklfa1eonh0-1,49,no,1
vg9c5tbt12odvgodklfa1eonh0-1,112,no,1
vg9c5tbt12odvgodklfa1eonh0-1,58,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,36,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,29,no,1
vg9c5tbt12odvgodklfa1eonh0-1,101,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,13,abstain,1
vg9c5tbt12odvgodklfa1eonh0-1,119,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,120,no,1
vg9c5tbt12odvgodklfa1eonh0-1,32,abstain,1
vg9c5tbt12odvgodklfa1eonh0-1,48,abstain,1
vg9c5tbt12odvgodklfa1eonh0-1,53,abstain,1
vg9c5tbt12odvgodklfa1eonh0-1,37,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,116,no,1
vg9c5tbt12odvgodklfa1eonh0-1,113,no,1
vg9c5tbt12odvgodklfa1eonh0-1,104,abstain,1
vg9c5tbt12odvgodklfa1eonh0-1,108,no,1
vg9c5tbt12odvgodklfa1eonh0-1,25,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,111,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,55,no,1
vg9c5tbt12odvgodklfa1eonh0-1,65,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,50,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,5,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,118,no,1
vg9c5tbt12odvgodklfa1eonh0-1,9,no,1
vg9c5tbt12odvgodklfa1eonh0-1,52,no,1
vg9c5tbt12odvgodklfa1eonh0-1,56,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,7,no,1
vg9c5tbt12odvgodklfa1eonh0-1,47,no,1
vg9c5tbt12odvgodklfa1eonh0-1,107,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,17,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,117,yes,1
vg9c5tbt12odvgodklfa1eonh0-1,102,no,1
vg9c5tbt12odvgodklfa1eonh0-1,34,yes,1
