id,name,abbreviation,votes
4,Změna pro Prostějov,ZPP,yes
8,Úsvit přímé demokracie,ÚSVIT,yes
9,TOP 09 a nezávislí Prostějované,TOP09,yes
7,ANO 2011,ANO,yes
6,Občanská demokratická strana,ODS,yes
1,Moravané,MORAVANÉ,yes
5,Křesťanská demokratická unie - Československá strana lidová,KDU-ČSL,yes
12,Komunistická strana Čech a Moravy,KSČM,yes
11,Česká strana sociálně demokratická,ČSSD,no
2,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)",KČ,no
10,Pévéčko,PV,no
3,"Republikánská strana Čech, Moravy a Slezska",RSČMS,no
