id,abbreviation,name
ind,IND.,Independientes
ic,IC,Izquierda Ciudadana
pc,PC,Partido Comunista
pdc,PDC,Partido Demócrata Cristiano
pds,PDS,Partido Demócrata Socialista de Chile
ppd,PPD,Partido Por la Democracia
pri,PRI,Partido Regionalista Independiente
prsd,PRSD,Partido Radical Social Demócrata
ps,PS,Partido Socialista
rn,RN,Renovación Nacional
udi,UDI,Unión Demócrata Independiente
