id,start_date,result,motion:title,motion:text,motion:article,motion:legislative_session,motion:tramite,motion:type,motion:classification,motion:observations
5004,2006-03-14T12:49:00,pass,Boletín N°2815-05,"Reforma el decreto con fuerza de ley N°120, de 1960, de Hacienda, Ley Orgánica de la Polla Chilena de Beneficencia. (Cema Chile).",Informe de Comisión Mixta,2,Comisión Mixta/Primer Informe,Particular,Quorum Simple,
5005,2006-03-14T12:51:00,pass,Boletín N°3825-11,Modifica la ley Nº 19.419 en materias relativas a la publicidad y el consumo del tabaco.,Informe de Comisión MIxta,2,Comisión Mixta/Primer Informe,Particular,Ley Orgánica Constitucional,
5008,2006-03-15T13:00:00,pass,Boletín N°4087-10,"Aprueba el Protocolo Adicional a la Convención Americana sobre Derechos Humanos en materia de Derechos Económicos, Sociales y Culturales, ""Protocolo de San Salvador"", adoptado en San Salvador el 17 de noviembre de 1988 y suscrito por Chile el 5 de junio de 2001.",,3,Primer Trámite Constitucional/Primer Informe,General y particular,Quorum Simple,
5009,2006-03-15T13:02:00,pass,Boletín N°3962-07,"Introduce en la ley Orgánica Constitucional del Congreso Nacional, las adecuaciones necesarias para adaptarla a la ley N°20.050, que reformó la Constitución Política de la República.",,3,Primer Trámite Constitucional/Primer Informe,General,Ley Orgánica Constitucional,
5010,2006-03-15T13:04:00,fail,Boletín N°3962-07,"Introduce en la ley Orgánica Constitucional del Congreso Nacional, las adecuaciones necesarias para adaptarla a la ley N° 20.050, que reformó la Constitución Política de la República.",30,3,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
5011,2006-03-15T13:05:00,fail,Boletín N°3962-07,"Introduce en la ley Orgánica Constitucional del Congreso Nacional, las adecuaciones necesarias para adaptarla a la ley N° 20.050, que reformó la Constitución Política de la República.","31, con indicación del Diputado Tuma para agregar el siguiente inciso segundo: ""Por la unanimidad de los comités o a solicitud de 30 diputados o 10 senadores, según cada caso, se podrá concordar la votación separada de las disposiciones que integran la proposición de la Comisión Mixta.""",3,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
5012,2006-03-15T13:06:00,pass,Boletín N°3962-07,"Introduce en la ley Orgánica Constitucional del Congreso Nacional, las adecuaciones necesarias para adaptarla a la ley N° 20.050, que reformó la Constitución Política de la República.",31 en la forma propuesta en el informe.,3,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
5014,2006-03-15T13:08:00,pass,Boletín N°3962-07,"Introduce en la ley Orgánica Constitucional del Congreso Nacional, las adecuaciones necesarias para adaptarla a la ley N°20.050, que reformó la Constitución Política de la República.","54, inciso sexto.",3,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
5015,2006-03-15T13:10:00,fail,Boletín N°3962-07,"Introduce en la ley Orgánica Constitucional del Congreso Nacional, las adecuaciones necesarias para adaptarla a la ley N° 20.050, que reformó la Constitución Política de la República.","64, con indicación de las señoras y señores Cardemil, Eluchans, Ward; Isasi, doña Marta; Herrera, doña Amelia; Monckeberg, don Cristián; Arenas, Uriarte y Masferrer, para agregar en su inciso primero, a continuación de la palabra ""retiro"", el vocablo ""fundado"".",3,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
5016,2006-03-15T13:11:00,fail,Boletín N°3962-07,"Introduce en la ley Orgánica Constitucional del Congreso Nacional, las adecuaciones necesarias para adaptarla a la ley N°20.050, que reformó la Constitución Política de la República.",64 en la forma propuesta por la Comisión.,3,Primer Trámite Constitucional/Primer Informe,Particular,Ley Orgánica Constitucional,
5017,2006-03-15T13:18:00,pass,Proyecto de Acuerdo N°16,"Expresa rechazo a acción del ejército israelí en la cárcel de Jericó, en Gaza.",,3,,General y particular,,
5033,2006-03-21T13:09:00,pass,Boletín N°2587-01,"Modifica el artículo 124 de la ley N° 18.892, General de Pesca para incluir dentro de los tribunales con competencia para conocer de las infracciones a la ley de Pesca cometidas o que tuvieren principio de ejecución en el mar territorial o en la zona económica exclusiva, a los juzgados civiles de las ciudades de Pichilemu y Temuco.",,4,Tercer Trámite Constitucional/,Particular,Ley Orgánica Constitucional,
5034,2006-03-21T13:10:00,pass,Boletín N°3356-03,Sobre competencia desleal.,"Enmiendas del Senado, con excepción de las recaídas en los artículos 1º, 2º, 3º, 4º, 5º del Senado (10 de la Cámara), 6º del Senado (11 de la Cámara) y 15 de la Cámara.",4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
5035,2006-03-21T13:11:00,fail,Boletín N°3356-03,Sobre competencia desleal.,Enmienda del Senado que reemplaza el artículo 1º.,4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
5036,2006-03-21T13:13:00,pass,Boletín N°3356-03,Sobre competencia desleal.,Enmienda del Senado que sustituye el artículo 2º del proyecto.,4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
5037,2006-03-21T13:14:00,pass,Boletín N°3356-03,Sobre competencia desleal.,Enmienda del Senado que reemplaza el artículo 3º del proyecto.,4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
5038,2006-03-21T13:15:00,pass,Boletín N°3356-03,Sobre competencia desleal.,Modificación del Senado que sustituye el artículo 4º del proyecto.,4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
5039,2006-03-21T13:15:00,pass,Boletín N°3356-03,Sobre competencia desleal.,Artículo 5º propuesto por el Senado (10 de la Cámara).,4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
5040,2006-03-21T13:16:00,pass,Boletín N°3356-03,Sobre competencia desleal.,Artículo 6º del Senado (11 de la Cámara).,4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
5041,2006-03-21T13:17:00,fail,Boletín N°3356-03,Sobre competencia desleal.,Enmienda del Senado para rechazar el artículo 15 de la Cámara.,4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
5059,2006-03-22T12:07:00,pass,"Informe de la Comisión de Gobierno Interior, Regionalización y Desarrollo Social recaído en los proyectos de acuerdo N°s. 602 y 603, sobre la forma y los procedimientos utilizados por el Instituto Nacional de Deportes de Chile en la aplicación de la ley N°19.712.",,,5,,General,Quorum Simple,
5069,2006-03-22T18:28:00,pass,Proyecto de Acuerdo N°22,Formula propuestas al Ejecutivo para mejorar la calidad de la educación.,,6,,General y particular,,
5070,2006-03-22T18:30:00,fail,Proyecto de Acuerdo N°23,Propone medidas que indica en relación con pruebas de medición de aprendizaje de los alumnos.,,6,,General y particular,,
5074,2006-04-04T13:43:00,pass,"Informe de la Comisión de Defensa Nacional  recaído en el proyecto de acuerdo N° 644, sobre la situación actual del servicio militar obligatorio.",,,8,,General y particular,Quorum Simple,
5075,2006-04-04T14:22:00,pass,Proyecto de Acuerdo N°1 y 14,Crear Comisión Especial Investigadora sobre intervención electoral.,,8,,General y particular,,
5081,2006-04-05T15:20:00,pass,Boletín N°4131-13,Concede un reajuste extraordinario a las pensiones más bajas y modifica otras leyes que indica.,con excepción de los artículos 5º y 6º.,9,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
5082,2006-04-05T15:21:00,pass,Boletín N°4131-13,Concede un reajuste extraordinario a las pensiones más bajas y modifica otras leyes que indica.,5º y 6º.,9,Primer Trámite Constitucional/Primer Informe,General,Quorum Calificado,
5083,2006-04-05T15:22:00,pass,Boletín N°4131-13,Concede un reajuste extraordinario a las pensiones más bajas y modifica otras leyes que indica.,7º,9,Primer Trámite Constitucional/Primer Informe,Particular,Quorum Simple,
5086,2006-04-06T13:01:00,pass,"Informe de la Comisión Investigadora encargada de analizar las normas legales y reglamentarias que regulan los procedimientos y contrataciones de terceros por parte de Codelco, recaído en el proyecto de acuerdo N°672.",,,10,,General y particular,Quorum Simple,
5087,2006-04-06T13:01:00,pass,Boletín N°4128-16,"Proyecto de reforma al Reglamento de la Cámara de Diputados que regula la citación a los Ministros de Estado conforme al artículo 52, N°1, letra b), de la Constitución Política de la República.",,10,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
5089,2006-04-06T13:15:00,pass,Proyecto de Acuerdo N°4,Solicita reformulación de coeficientes de subsidios habitacionales.,,10,,General y particular,,
5092,2006-04-11T13:27:00,pass,Boletín N°4009-13,"Amplía el concepto de accidente del trabajo contemplado en la ley N°16.744, sobre Accidentes del Trabajo y Enfermedades Profesionales.",,11,Segundo Trámite Constitucional/Primer Informe,General,Quorum Calificado,
5093,2006-04-11T13:29:00,pass,Boletín N°4104-05,Autoriza la contribución de Chile a la acción contra el hambre y la pobreza mundial.,,11,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
5095,2006-04-11T13:40:00,pass,Proyecto de Acuerdo N°6,Plantea medidas que indica sobre creación de nuevas regiones.,,11,,General y particular,,
5098,2006-04-12T12:53:00,pass,Boletín N°4059-07,"Modifica la ley N°17.997, Orgánica Constitucional del Tribunal Constitucional.",,12,Primer Trámite Constitucional/Primer Informe Complementario,General,Ley Orgánica Constitucional,
5099,2006-04-12T12:55:00,pass,Boletín N°4059-07,"Modifica la ley N° 17.997, Orgánica Constitucional del Tribunal Constitucional.","Indicación de los Diputados Eluchans; Monckeberg, Cristián; Monckeberg, Nicolás; Burgos, Bustos y Cardemil, para reemplazar la letra a) del numeral 40 por la siguiente: ""a) Derógase el artículo 44.""",12,Primer Trámite Constitucional/Primer Informe Complementario,Particular,Ley Orgánica Constitucional,
5100,2006-04-12T12:56:00,pass,Boletín N°4059-07,"Modifica la ley N° 17.997, Orgánica Constitucional del Tribunal Constitucional.","47 B, contenido en el numeral 43 del artículo único.",12,Primer Trámite Constitucional/Primer Informe Complementario,Particular,Ley Orgánica Constitucional,
5101,2006-04-12T12:58:00,pass,Boletín N°4059-07,"Modifica la ley N° 17.997, Orgánica Constitucional del Tribunal Constitucional.","Indicación del los Diputados Burgos y Bustos, para sustituir el artículo 47 E por el siguiente:""Artículo 47 E.- Presentado el requerimiento, podrán subsanarse los defectos de forma o la omisión de antecedentes que debían acompañarse al Tribunal, dentro del plazo de tres días que por resolución éste le fije. Si así no lo hicieren, el requerimiento se tendrá por no presentado para todos los efectos legales.""",12,Primer Trámite Constitucional/Primer Informe Complementario,Particular,Ley Orgánica Constitucional,
5102,2006-04-12T13:03:00,pass,Proyecto de Acuerdo N°9,Solicita al Ejecutivo un estudio de la división política y administrativa del país para crear nuevas comunas.,,12,,General y particular,,
