id,name,abbreviation
0,Právo a spravodlivosť,PS
1,Most-Híd,M-H
2,Strana občanov Slovenska,SOS
3,Strana Slobodné Slovo Nory Mojsejovej,SSS-NM
4,99 % - občiansky hlas,99%
5,Strana maďarskej koalície-Magyar Koalíció Pártja,SMK-MKP
6,Ľudová strana – Hnutie za demokratické Slovensko,ĽS-HZDS
7,"Zmena zdola, Demokratická únia Slovenska",ZZ-DÚS
8,Sloboda a solidarita,SaS
