id,start_date,motion:title,motion:number,motions:document,sources:link:url,motion:legislative_session,motion:result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
18940,2004-03-25,(schválení programu),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18940,16,pass,51,4,12,70,67
18960,2004-03-25,(schválení programu),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18960,16,pass,54,2,10,70,66
18962,2004-03-25,(schválení programu),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18962,16,pass,50,9,8,70,67
18939,2004-03-25,(schválení programu),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18939,16,pass,52,1,11,70,64
18958,2004-03-25,(schválení programu),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18958,16,pass,53,6,8,70,67
18961,2004-03-25,(návrhový výbor),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18961,16,pass,55,1,0,70,56
18931,2004-03-25,(návrhový výbor),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18931,16,pass,61,0,2,70,63
18916,2004-03-25,k volbě přísedících Městského soudu v Praze (usnesení),16/01,928,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18916,16,pass,59,0,0,70,59
18917,2004-03-25,k návrhu na poskytnutí finančního daru Policii ČR - Správa HMP (usnesení),16/02,941,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18917,16,fail,19,0,0,70,19
18918,2004-03-25,k návrhu na poskytnutí finančního daru Policii ČR - Správa HMP (usnesení),16/02,941,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18918,16,pass,52,0,3,70,55
18919,2004-03-25,k návrhu na poskytnutí finančního daru Policii ČR - Správa HMP (usnesení),16/02,941,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18919,16,pass,60,0,3,70,63
