id,name,given_name,family_name
52,Václav Jehlička,Václav,Jehlička
41,Libuše Benešová,Libuše,Benešová
59,Richard Salzmann,Richard,Salzmann
8,František Jirava,František,Jirava
4,Richard Falbr,Richard,Falbr
36,Miroslav Coufal,Miroslav,Coufal
2,Jiří Vyvadil,Jiří,Vyvadil
85,Martin Dvořák,Martin,Dvořák
102,František Mezihorák,František,Mezihorák
60,Jan Zahradníček,Jan,Zahradníček
14,Jiří Pospíšil,Jiří,Pospíšil
35,František Vízek,František,Vízek
63,Jitka Seitlová,Jitka,Seitlová
77,Vladimír Oplt,Vladimír,Oplt
57,Oldřich Dočekal,Oldřich,Dočekal
24,Josef Pavlata,Josef,Pavlata
13,Pavel Eybert,Pavel,Eybert
78,Irena Ondrová,Irena,Ondrová
66,Karel Korytář,Karel,Korytář
3,Peter Morávek,Peter,Morávek
1,Vladimír Kulhánek,Vladimír,Kulhánek
5,Ladislav Drlý,Ladislav,Drlý
27,Václav Benda,Václav,Benda
100,Tomáš Julínek,Tomáš,Julínek
103,Rostislav Harazin,Rostislav,Harazin
48,František Bartoš,František,Bartoš
46,Bohumil Čada,Bohumil,Čada
23,Alena Palečková,Alena,Palečková
33,Egon Lánský,Egon,Lánský
98,Stanislav Bělehrádek,Stanislav,Bělehrádek
37,Jiří Liška,Jiří,Liška
11,Petr Smutný,Petr,Smutný
74,Alfréd Michalík,Alfréd,Michalík
80,Jiří Stodůlka,Jiří,Stodůlka
44,Petr Pithart,Petr,Pithart
54,Milan Špaček,Milan,Špaček
29,Karel Burda,Karel,Burda
30,Ladislav Svoboda,Ladislav,Svoboda
89,Zuzana Roithová,Zuzana,Roithová
101,Dagmar Lastovecká,Dagmar,Lastovecká
45,Karel Barták,Karel,Barták
26,Vladimír Zeman,Vladimír,Zeman
73,Emil Škrabiš,Emil,Škrabiš
34,Přemysl Sobotka,Přemysl,Sobotka
109,Václav Fischer,Václav,Fischer
75,Antonín Petráš,Antonín,Petráš
32,Jaroslav Musial,Jaroslav,Musial
53,Pavel Heřman,Pavel,Heřman
90,Jan Ruml,Jan,Ruml
95,Jan Fencl,Jan,Fencl
69,Věra Vašínková,Věra,Vašínková
92,Jaroslav Doubrava,Jaroslav,Doubrava
104,Jaroslav Šula,Jaroslav,Šula
50,Jiří Brýdl,Jiří,Brýdl
81,Jaroslav Petřík,Jaroslav,Petřík
16,Jiří Rückl,Jiří,Rückl
9,Bohumil Kulhánek,Bohumil,Kulhánek
68,Jan Voráček,Jan,Voráček
107,František Kroupa,František,Kroupa
39,Vlastimil Šubrt,Vlastimil,Šubrt
28,Jaroslav Horák,Jaroslav,Horák
18,Zdeněk Vojíř,Zdeněk,Vojíř
108,Josef Kaňa,Josef,Kaňa
38,Jarmila Filipová,Jarmila,Filipová
65,Václav Reitinger,Václav,Reitinger
71,Jan Zapletal,Jan,Zapletal
47,Miloslav Müller,Miloslav,Müller
21,Michael Žantovský,Michael,Žantovský
17,Jan Krámek,Jan,Krámek
56,Jiří Pavlov,Jiří,Pavlov
70,Mirek Topolánek,Mirek,Topolánek
72,Vítězslav Matuška,Vítězslav,Matuška
12,Pavel Rychetský,Pavel,Rychetský
51,Jiří Šenkýř,Jiří,Šenkýř
88,Daniel Kroupa,Daniel,Kroupa
43,Jaroslava Moserová,Jaroslava,Moserová
15,Milan Štěch,Milan,Štěch
6,Ivan Havlíček,Ivan,Havlíček
20,Zdeněk Klausner,Zdeněk,Klausner
42,Vladislav Malát,Vladislav,Malát
84,Jiří Skalický,Jiří,Skalický
62,Jan Kavan,Jan,Kavan
