id,start_date,motion:title,motion:result,motion:requirement
205,1999-04-21T12:00:00,"24 - Návrh na vyslovení souhlasu s pozemními tranzity, přistáváním voj.letadel a pobytem příslušníků cizích vojsk na území ČR",pass,simple majority
1289,2000-08-10T12:00:00,324 - návrh zákona o provozu na pozemních komunikacích a o změnách některých zákonů,pass,simple majority
1113,2000-06-29T12:00:00,Návrh na prodloužení doby pro jednání a hlasování,pass,simple majority
811,2000-02-25T12:00:00,"170 - návrh zákona, kterým se mění zákon o přestupcích, zákon o jednacím řádu PS a Senátu a další zákony",fail,simple majority
698,2000-02-02T12:00:00,138 - Žádost prezidenta republiky o vyslovení souhlasu Senátu PČR s jmenováním soudce Ústavního soudu,pass,simple majority
384,1999-07-29T12:00:00,"71 - návrh zákona, kterým se mění zákon č. 85/1996 Sb., o advokacii a zákon č. 140/1961 Sb., trestní zákon",fail,simple majority
636,2000-01-12T12:00:00,15. schůze Senátu,pass,simple majority
829,2000-03-01T12:00:00,"181 - návrh zákona, kterým se mění zákon č. 328/1991 Sb., o konkursu a vyrovnání a některé další zákony",pass,simple majority
844,2000-03-01T12:00:00,"181 - návrh zákona, kterým se mění zákon č. 328/1991 Sb., o konkursu a vyrovnání a některé další zákony",pass,simple majority
1322,2000-08-10T12:00:00,328 - návrh na změnu Podrobnějších pravidel jednání Senátu ve věci volby kandidátů na funkci Veřejného ochránce práv,pass,simple majority
1182,2000-08-03T12:00:00,"312 - návrh zákona, kterým se mění zákon č. 148/1998 Sb., o ochraně utajovaných skutečností a o změně některých zákonů",pass,simple majority
110,1999-03-10T12:00:00,Zpráva MIV,pass,simple majority
1148,2000-07-12T12:00:00,"294 - návrh zákona, kterým se mění zákon č. 513/1991 Sb., obchodní zákoník, a další zákony",pass,simple majority
763,2000-02-25T12:00:00,171 - návrh zákona o ochraně osobních údajů a o změně některých zákonů,pass,simple majority
1177,2000-08-02T12:00:00,302 - Smlouva mezi ČR a SRN o dodatcích k Evropské úmluvě o vydávání a usnadnění jejího používání,pass,simple majority
332,1999-07-15T12:00:00,51 - návrh zákona o státním dluhopisovém programu na financování řešení důsledků kosovské krize,pass,simple majority
