id,name,state
50-1,ALCESTE ALMEIDA,Roraima
50-2,ELTON ROHNELT,Roraima
50-3,FRANCISCO RODRIGUES,Roraima
50-4,LUCIANO CASTRO,Roraima
50-5,LUIS BARBOSA,Roraima
50-6,MOISES LIPNIK,Roraima
50-7,ROBÉRIO ARAÚJO,Roraima
50-8,SALOMÃO CRUZ,Roraima
50-9,ANTONIO FEIJÃO,Amapá
50-10,ERALDO TRINDADE,Amapá
50-11,FÁTIMA PELAES,Amapá
50-12,GERVÁSIO OLIVEIRA,Amapá
50-14,MURILO PINHEIRO,Amapá
50-15,RAQUEL CAPIBERIBE,Amapá
50-16,SÉRGIO BARCELLOS,Amapá
50-17,VALDENOR GUEDES,Amapá
50-18,ANA JÚLIA,Pará
50-19,ANIVALDO VALE,Pará
50-20,ANTÔNIO BRASIL,Pará
50-21,BENEDITO GUIMARÃES,Pará
50-22,ELCIONE BARBALHO,Pará
50-23,GERSON PERES,Pará
50-25,GIOVANNI QUEIROZ,Pará
50-26,HILÁRIO COIMBRA,Pará
50-27,JOSÉ PRIANTE,Pará
50-28,NICIAS RIBEIRO,Pará
50-29,OLÁVIO ROCHA,Pará
50-30,PAULO ROCHA,Pará
50-31,PAULO TITAN,Pará
50-32,RAIMUNDO SANTOS,Pará
50-33,SOCORRO GOMES,Pará
50-34,UBALDO CORREA,Pará
50-35,VIC PIRES FRANCO,Pará
50-36,ALZIRA ÉWERTON,Amazonas
50-37,ARTHUR VIRGÍLIO,Amazonas
50-38,ÁTILA LINS,Amazonas
50-39,EULER RIBEIRO,Amazonas
50-40,JOÃO THOMÉ MESTRINHO,Amazonas
50-41,JOSÉ MELO,Amazonas
50-42,LUIZ FERNANDO,Amazonas
50-43,PAUDERNEY AVELINO,Amazonas
50-44,CARLOS CAMURCA,Rondonia
50-45,CONFÚCIO MOURA,Rondonia
50-46,EMERSON OLAVO PIRES,Rondonia
50-47,EURÍPEDES MIRANDA,Rondonia
50-48,EXPEDITO JÚNIOR,Rondonia
50-49,ILDEMAR KUSSLER,Rondonia
50-50,MARINHA RAUPP,Rondonia
50-51,SILVERNANI SANTOS,Rondonia
50-52,CARLOS AIRTON,Acre
50-53,CÉLIA MENDES,Acre
50-54,CHICÃO BRÍGIDO,Acre
50-55,FRANCISCO DIÓGENES,Acre
50-56,JOÃO MAIA,Acre
50-57,MAURI SÉRGIO,Acre
50-58,RONIVON SANTIAGO,Acre
50-59,ZILA BEZERRA,Acre
50-60,ANTÔNIO JORGE,Tocantins
50-61,DARCI COELHO,Tocantins
50-62,DOLORES NUNES,Tocantins
50-63,FREIRE JÚNIOR,Tocantins
50-64,JOÃO RIBEIRO,Tocantins
50-65,OSVALDO REIS,Tocantins
50-66,PAULO MOURÃO,Tocantins
50-67,UDSON BANDEIRA,Tocantins
