id,start_date,motion:title,motion:result,motion:requirement
10,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
60,1998-09-23T12:00:00,"98085 - Návrh senátního návrhu zákona, kterým se mění a doplňuje zákon č. 127/1997 Sb.",pass,simple majority
59,1998-09-23T12:00:00,"98085 - Návrh senátního návrhu zákona, kterým se mění a doplňuje zákon č. 127/1997 Sb.",pass,simple majority
8,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
4,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
36,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
51,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
41,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
14,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
35,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,fail,simple majority
22,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
57,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
45,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
24,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,fail,simple majority
13,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
66,1998-11-05T12:00:00,7. schůze Senátu,pass,simple majority
3,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
7,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
5,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
19,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
27,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
26,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,fail,simple majority
48,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
46,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
23,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,fail,simple majority
33,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,fail,simple majority
58,1998-09-23T12:00:00,"98085 - Návrh senátního návrhu zákona, kterým se mění a doplňuje zákon č. 127/1997 Sb.",pass,simple majority
64,1998-09-23T12:00:00,"Návrh na doplnění usnesení Senátu č. 59, ve znění usnesení č. 73 k provedení zákona č. 236/1995 Sb.",pass,simple majority
37,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
67,1998-11-05T12:00:00,98091 - Návrh zákona o odejmutí dalšího platu za druhé pololetí,pass,simple majority
11,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
44,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
54,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,fail,simple majority
61,1998-09-23T12:00:00,"98085 - Návrh senátního návrhu zákona, kterým se mění a doplňuje zákon č. 127/1997 Sb.",pass,simple majority
29,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,fail,simple majority
30,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
25,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
16,1998-09-23T12:00:00,98006 - Návrh senátního návrhu zákona o jednacím řádu Senátu,pass,simple majority
63,1998-09-23T12:00:00,"98085 - Návrh senátního návrhu zákona, kterým se mění a doplňuje zákon č. 127/1997 Sb.",pass,simple majority
