id,name,abbreviation,votes
10,ALTERNATIVA,ALTERNATIVA,yes
12,Karlovaráci,KVC,yes
9,Komunistická strana Čech a Moravy,KSČM,yes
7,Karlovarská občanská alternativa,KOA,yes
6,TOP 09,TOP 09,yes
1,PRO Svobodné Vary,Svobodní,yes
5,"Hnutí O co jim jde?! s podporou KDU-ČSL, Pirátů, Strany zelených a Ládi Gerendáše",O co jim jde?,yes
2,STAROSTOVÉ A NEZÁVISLÍ,STAN,yes
3,ANO 2011,ANO 2011,no
8,Česká strana sociálně demokratická,ČSSD,no
11,Kongres národních sil - Za národní Karlovy Vary!,DSSS,no
4,Občaská demokratická strana,ODS,no
