id,start_date,motion:title,motion:result,motion:requirement
2304,2002-03-13T12:00:00,"199-návrh zákona, kterým se mění zákon, č. 218/1999 Sb., o rozsahu branné povinnosti a o vojenských správních úřadech",pass,simple majority
2155,2001-12-05T12:00:00,"120 - Návrh senátního návrhu zákona, kterým se mění zákon č. 107/1999 Sb., o jednacím řádu Senátu",pass,simple majority
1685,2001-03-29T12:00:00,36 - návrh zákona o odpadech a o změně některých dalších zákonů,fail,simple majority
2456,2002-04-26T12:00:00,262-návrh zákona o ochraně státních hranic ČR a o změně některých zákonů,fail,simple majority
1879,2001-08-09T12:00:00,"85 - návrh zákona, kterým se mění zákon č. 21/1992 Sb., o bankách, ve znění pozdějších předpisů",pass,simple majority
2088,2001-11-29T12:00:00,11. schůze Senátu,pass,simple majority
2621,2002-05-29T12:00:00,"298-Návrh zákona, kterým se mění zákon č. 455/1991 Sb., o živnostenském podnikání (živnostenský zákon)",fail,simple majority
1506,2001-01-11T12:00:00,379 - návrh zákona o posuzování vlivů na životní prostředí a o změně souvisejících zákonů,fail,simple majority
1892,2001-08-09T12:00:00,9.schůze Senátu,pass,simple majority
2004,2001-10-26T12:00:00,112 - návrh zákona o myslivosti,pass,simple majority
1655,2001-03-29T12:00:00,Návrh na vyslovení souhlasu se zřízením podvýborů výborů Senátu - pro boj s korupcí,pass,simple majority
1779,2001-06-27T12:00:00,"73 - návrh zákona o poskytnutí jednorázové peněžní částky účastníkům boje za osvobození, politickým vězňům a dalším osobám",pass,simple majority
1540,2001-01-17T12:00:00,Návrh pořadu 4. schůze Senátu,pass,simple majority
1438,2000-12-19T12:00:00,Návrh pořadu 1. schůze Senátu ve 3. funkčním období,pass,simple majority
2061,2001-11-22T12:00:00,11. schůze Senátu,fail,simple majority
1590,2001-03-01T12:00:00,"15 - návrh zákona, kterým se mění zákon č. 326/1999 Sb., o pobytu cizinců na území České republiky a o změně některých zákonů",pass,simple majority
1491,2001-01-11T12:00:00,379 - návrh zákona o posuzování vlivů na životní prostředí a o změně souvisejících zákonů,pass,simple majority
2002,2001-10-26T12:00:00,112 - návrh zákona o myslivosti,fail,simple majority
2162,2001-12-05T12:00:00,"148 - Návrh zákona, kterým se mění zákon č. 48/1997 Sb., o veřejném zdravotním pojištění a o změně a doplnění některých zákonů",pass,simple majority
1725,2001-05-16T12:00:00,"51 - Návrh zákona, kterým se mění zákon č. 155/1995 Sb., o důchodovém pojištění, ve znění pozdějších předpisů",fail,simple majority
1517,2001-01-11T12:00:00,379 - návrh zákona o posuzování vlivů na životní prostředí a o změně souvisejících zákonů,pass,simple majority
1551,2001-02-22T12:00:00,Změna pořadu 5. schůze Senátu,pass,simple majority
1771,2001-06-27T12:00:00,"73 - návrh zákona o poskytnutí jednorázové peněžní částky účastníkům boje za osvobození, politickým vězňům a dalším osobám",fail,simple majority
2446,2002-04-26T12:00:00,268-návrh zákona o úřednících územních samosprávných celků a o změně některých zákonů,fail,simple majority
1785,2001-06-27T12:00:00,"68 - návrh zákona, kterým se mění zákon o spotřebních daních, o daní z přidané hodnoty, zákon č. 17/2000 Sb.a zákon č. 22/2000 Sb.",pass,simple majority
1987,2001-10-25T12:00:00,114 - návrh zákona o svobodě náboženského vyznání a postavení církví a náboženských společností a o změně některých zákonů,fail,simple majority
2366,2002-03-20T12:00:00,"225-návrh zákon, kterým se mění zákon č. 455/1991 Sb., o živnostenském podnikání a zákon č. 356/1999 Sb.",pass,simple majority
1818,2001-06-29T12:00:00,65 - návrh zákona o vodovodech a kanalizacích pro veřejnou potřebu a o změně některých zákonů,pass,simple majority
1984,2001-10-25T12:00:00,"116 - návrh zákona, kterým se mění zákon č. 325/1999 Sb., o azylu a o změně zákona č. 283/1991 Sb., o Policii ČR",fail,simple majority
1624,2001-03-28T12:00:00,Návrh pořadu 6. schůze Senátu,pass,simple majority
1977,2001-10-25T12:00:00,"116 - návrh zákona, kterým se mění zákon č. 325/1999 Sb., o azylu a o změně zákona č. 283/1991 Sb., o Policii ČR",fail,simple majority
2448,2002-04-26T12:00:00,268-návrh zákona o úřednících územních samosprávných celků a o změně některých zákonů,pass,simple majority
702,2001-04-05T12:00:00,"84 - návrh senátního návrhu zákona, kterým se mění zákon č.1/1993 Sb., Ústava ČR - Stálá komise Senátu pro Ústavu ČR",pass,simple majority
2044,2001-10-26T12:00:00,112 - návrh zákona o myslivosti,pass,simple majority
2565,2002-05-14T12:00:00,"283-návrh zákona o přechodu některých dalších věcí, práv a závazků ČR na kraje a obce",pass,simple majority
1821,2001-06-29T12:00:00,65 - návrh zákona o vodovodech a kanalizacích pro veřejnou potřebu a o změně některých zákonů,pass,simple majority
2602,2002-05-24T12:00:00,"301-Návrh zákona, kterým se mění zákon č. 84/1990 Sb., o právu shromažďovacím",pass,simple majority
2025,2001-10-26T12:00:00,112 - návrh zákona o myslivosti,pass,simple majority
1452,2000-12-19T12:00:00,Změna pořadu 1. schůze Senátu ve 3. funkčním období,pass,simple majority
2382,2002-04-24T12:00:00,"254-návrh zákona, kterým se mění zákon č. 21/1997 Sb., o kontrole vývozu a dovozu zboží a technologií",pass,simple majority
2384,2002-04-24T12:00:00,"256-návrh zákona, kterým se mění zákon č. 61/1988 Sb., o hornické činnosti, výbušninách a o státní báňské správě",pass,simple majority
2320,2002-03-14T12:00:00,"214-návrh, kterým se předkládá PČR k vyslovení souhlasu Smlouva o sociálním zabezpečení mezi ČR a SRN",pass,simple majority
1918,2001-10-18T12:00:00,"10 - návrh ústavního zákona, kterým se mění ústavní zákon č. 1/1993 Sb., Ústava ČR a ústavního zákona č. 300/2000 Sb.",pass,simple majority
2258,2002-01-31T12:00:00,171-návrh zákona o ochraně ovzduší a o změně některých dalších zákonů (zákon o ochraně ovzduší),pass,simple majority
2298,2002-03-13T12:00:00,206-návrh zákona o přijetí úvěru ČR od Evropské investiční banky na financování investičních potřeb,pass,simple majority
2418,2002-04-25T12:00:00,265-návrh zákona o státním dluhopisovém programu ke krytí náhrad ze Zajišťovacího fondu družstevních záložen,fail,simple majority
1747,2001-05-17T12:00:00,53 - návrh zákona o České konsolidační agentuře a o změně některých zákonů,pass,simple majority
1797,2001-06-28T12:00:00,"72 - návrh zákona, kterým se mění zákon č. 359/1999 Sb., o sociálně-právní ochraně dětí, ve znění zákona č. 257/2000 Sb.",fail,simple majority
2512,2002-05-09T12:00:00,"281-návrh zákon, kterým se mění zákon č. 128/2000 Sb., o obcích, ve znění pozdějších předpisů",pass,simple majority
1734,2001-05-17T12:00:00,"52 - návrh zákona, kterým se mění zákon č. 20/1966 Sb., o péči o zdraví lidu, ve znění pozdějších předpisů",pass,simple majority
1697,2001-03-29T12:00:00,Změna pořadu 6. schůze Senátu,pass,simple majority
1736,2001-05-17T12:00:00,Změna pořadu 7. schůze Senátu,pass,simple majority
1589,2001-03-01T12:00:00,"15 - návrh zákona, kterým se mění zákon č. 326/1999 Sb., o pobytu cizinců na území České republiky a o změně některých zákonů",pass,simple majority
1669,2001-03-29T12:00:00,36 - návrh zákona o odpadech a o změně některých dalších zákonů,pass,simple majority
1605,2001-03-01T12:00:00,"361 (2. funkční období) - návrh zákona, o volbách do zastupitelstev v obcích a o změně některých dalších zákonů",fail,simple majority
1584,2001-03-01T12:00:00,"5 - Návrh zákona, kterým se mění zákon, č. 587/1992 Sb., o spotřebních daních a některé další zákony",pass,simple majority
1587,2001-03-01T12:00:00,"15 - návrh zákona, kterým se mění zákon č. 326/1999 Sb., o pobytu cizinců na území České republiky a o změně některých zákonů",fail,simple majority
2452,2002-04-26T12:00:00,268-návrh zákona o úřednících územních samosprávných celků a o změně některých zákonů,pass,simple majority
1665,2001-03-29T12:00:00,36 - návrh zákona o odpadech a o změně některých dalších zákonů,fail,simple majority
2197,2001-12-19T12:00:00,"102 - Návrh senátního návrhu zákona senátora Roberta Koláře a dalších senátorů, kterým se mění zákon č. 219/2000 Sb., o majetku ČR",pass,simple majority
2193,2001-12-19T12:00:00,"155 - Návrh zákona, kterým se mění zákon č. 306/1999 Sb., o poskytování dotací soukromým školám",pass,simple majority
1775,2001-06-27T12:00:00,"73 - návrh zákona o poskytnutí jednorázové peněžní částky účastníkům boje za osvobození, politickým vězňům a dalším osobám",pass,simple majority
2318,2002-03-14T12:00:00,"187-návrh zákona, kterým se mění zákon č. 117/1995 Sb., o státní sociální podpoře",pass,simple majority
2293,2002-03-13T12:00:00,"203-Návrh zákona, kterým se mění zákon č. 484/1991 Sb., o Českém rozhlasu",pass,simple majority
1754,2001-06-14T12:00:00,Ověřovatelé 8. schůze Senátu,pass,simple majority
2093,2001-11-29T12:00:00,"134 - Návrh zákona, kterým se mění zákon č. 16/1993 Sb., o dani silniční, ve znění pozdějších předpisů",pass,simple majority
1769,2001-06-27T12:00:00,Změna pořadu 8. schůze Senátu,pass,simple majority
2652,2002-05-30T12:00:00,"302-Návrh zákona, kterým se mění zákon č. 553/1991 Sb., o obecní policii,",fail,simple majority
2669,2002-05-31T12:00:00,335 - Žádost prezidenta republiky o vyslovení souhlasu se jmenováním soudce Ústavního soudu,pass,simple majority
1579,2001-03-01T12:00:00,"5 - Návrh zákona, kterým se mění zákon, č. 587/1992 Sb., o spotřebních daních a některé další zákony",pass,simple majority
1557,2001-02-22T12:00:00,6 - návrh zákona o navracení nezákonně vyvezených kulturních statků,pass,simple majority
2183,2001-12-06T12:00:00,153 - Návrh pravidel hospodaření senátorských klubů pro rok 2002,pass,simple majority
2354,2002-03-15T12:00:00,"207-návrh zákona, kterým se mění zákon č. 111/1994 Sb., o silniční dopravě, a některé další zákony",pass,simple majority
1975,2001-10-25T12:00:00,Návrh pořadu 10. schůze Senátu,fail,simple majority
1684,2001-03-29T12:00:00,36 - návrh zákona o odpadech a o změně některých dalších zákonů,pass,simple majority
2607,2002-05-24T12:00:00,"295-Návrh zákona, kterým se mění zákon č. 13/1997 Sb., o pozemních komunikacích",pass,simple majority
1850,2001-08-07T12:00:00,"89 - návrh zákona, kterým se mění zákon č. 147/1996 Sb., o rostlinolékařské péči a změnách některých souvisejících zákonů",pass,simple majority
1489,2001-01-11T12:00:00,379 - návrh zákona o posuzování vlivů na životní prostředí a o změně souvisejících zákonů,pass,simple majority
2303,2002-03-13T12:00:00,210-návrh zákona o pozemkových úpravách a pozemkových úřadech a o změně zákona č. 229/1991 Sb.,fail,simple majority
2017,2001-10-26T12:00:00,112 - návrh zákona o myslivosti,pass,simple majority
2001,2001-10-26T12:00:00,112 - návrh zákona o myslivosti,fail,simple majority
1653,2001-03-29T12:00:00,"172 /2.funkční období/ - návrh ústavního zákona, kterým se mění zákon č. 1/1993 Sb., Ústava ČR,ve znění ústv. zákona č.347/1997 Sb.",fail,simple majority
2340,2002-03-15T12:00:00,184-návrh zákona o poskytnutí státní záruky na zajištění úvěru na financování I. tranzitního železničního koridoru,pass,simple majority
2472,2002-05-03T12:00:00,"182, 231 a 275 - rozhodnutí vlády ČR o přeletech letadel ozbrojených sil jiných států nad územím ČR",pass,simple majority
2506,2002-05-09T12:00:00,"281-návrh zákon, kterým se mění zákon č. 128/2000 Sb., o obcích, ve znění pozdějších předpisů",pass,simple majority
2628,2002-05-30T12:00:00,18. schůze senátu,pass,simple majority
1790,2001-06-28T12:00:00,Návrh na trestní stíhání senátora Vladimíra Schovánka,fail,simple majority
2270,2002-01-31T12:00:00,171-návrh zákona o ochraně ovzduší a o změně některých dalších zákonů (zákon o ochraně ovzduší),fail,simple majority
2157,2001-12-05T12:00:00,"102 - Návrh senátního návrhu zákona senátora Roberta Koláře a dalších senátorů, kterým se mění zákon č. 219/2000 Sb., o majetku ČR",fail,simple majority
2115,2001-11-30T12:00:00,"133 - Návrh zákona, kterým se mění zákon č. 283/1993 Sb., o státním zastupitelství, ve znění pozdějších předpisů",fail,simple majority
1526,2001-01-11T12:00:00,"374 - návrh zákona, kterým se mění zákon o Policii ČR, o ochraně utajovaných skutečností, o provozu na poz. komunikacích",pass,simple majority
2349,2002-03-15T12:00:00,"207-návrh zákona, kterým se mění zákon č. 111/1994 Sb., o silniční dopravě, a některé další zákony",fail,simple majority
1999,2001-10-26T12:00:00,112 - návrh zákona o myslivosti,fail,simple majority
2112,2001-11-29T12:00:00,11. schůze Senátu,fail,simple majority
1911,2001-10-18T12:00:00,Návrh pořadu 10. schůze Senátu,pass,simple majority
2630,2002-05-30T12:00:00,"294-Návrh zákona, kterým se mění zákon č. 58/1995 Sb., o pojišťování a financování vývozu se státní podporou",pass,simple majority
1932,2001-10-24T12:00:00,"101 - návrh senátního návrhu ústavního zákona, kterým se mění ústavní zákon ČNR č. 1/1993 Sb., Ústava ČR",fail,simple majority
1474,2000-12-20T12:00:00,"369 - návrh zákona, kterým se mění zákon č. 335/1991 Sb., o soudech a soudcích a některé další zákony",pass,simple majority
2253,2002-01-31T12:00:00,171-návrh zákona o ochraně ovzduší a o změně některých dalších zákonů (zákon o ochraně ovzduší),pass,simple majority
2262,2002-01-31T12:00:00,171-návrh zákona o ochraně ovzduší a o změně některých dalších zákonů (zákon o ochraně ovzduší),pass,simple majority
