voter_id,vote_event_id,option
ano,1,no
ano,2,no
ano,4,yes
ano,5,yes
ano,6,yes
ano,7,no
ano,8,yes
ano,9,yes
ano,10,no
ano,11,no
ano,12,abstain
ano,13,yes
ano,14,no
ano,15,yes
ano,16,yes
ano,17,yes
ano,18,yes
ano,19,yes
ano,20,no
ano,21,yes
ano,22,no
ano,23,yes
ano,24,yes
ano,25,yes
ano,26,yes
ano,27,no
ano,28,yes
ano,29,no
ano,30,no
ano,31,no
ano,32,no
ano,33,yes
ano,34,yes
ano,35,yes
ano,36,yes
ano,37,yes
ano,38,yes
ano,39,yes
ano,40,yes
ano,41,yes
ano,42,yes
ano,43,yes
ano,44,no
ano,45,yes
ano,46,yes
ano,47,no
ano,48,no
ano,49,yes
ano,50,yes
ano,51,yes
ano,52,yes
ano,53,no
ano,54,yes
ano,55,yes
ano,56,yes
ano,57,yes
ano,58,no
ano,59,yes
ano,60,yes
ano,61,yes
ano,62,no
ano,63,yes
ano,64,yes
ano,65,yes
ano,101,yes
ano,102,no
ano,103,yes
ano,104,no
ano,105,no
ano,106,yes
ano,107,no
ano,108,no
ano,109,yes
ano,110,yes
ano,111,no
ano,112,abstain
ano,113,no
ano,114,no
ano,115,yes
ano,116,yes
ano,117,yes
ano,118,yes
ano,119,no
ano,120,yes
politicke-hnuti-zmena,1,yes
politicke-hnuti-zmena,2,yes
politicke-hnuti-zmena,4,abstain
politicke-hnuti-zmena,5,yes
politicke-hnuti-zmena,6,abstain
politicke-hnuti-zmena,7,no
politicke-hnuti-zmena,8,yes
politicke-hnuti-zmena,9,abstain
politicke-hnuti-zmena,10,yes
politicke-hnuti-zmena,11,abstain
politicke-hnuti-zmena,12,abstain
politicke-hnuti-zmena,13,yes
politicke-hnuti-zmena,14,abstain
politicke-hnuti-zmena,15,yes
politicke-hnuti-zmena,16,yes
politicke-hnuti-zmena,17,yes
politicke-hnuti-zmena,18,yes
politicke-hnuti-zmena,19,yes
politicke-hnuti-zmena,20,yes
politicke-hnuti-zmena,21,yes
politicke-hnuti-zmena,22,yes
politicke-hnuti-zmena,23,yes
politicke-hnuti-zmena,24,yes
politicke-hnuti-zmena,25,yes
politicke-hnuti-zmena,26,yes
politicke-hnuti-zmena,27,no
politicke-hnuti-zmena,28,yes
politicke-hnuti-zmena,29,yes
politicke-hnuti-zmena,30,yes
politicke-hnuti-zmena,31,yes
politicke-hnuti-zmena,32,abstain
politicke-hnuti-zmena,33,yes
politicke-hnuti-zmena,34,yes
politicke-hnuti-zmena,35,yes
politicke-hnuti-zmena,36,yes
politicke-hnuti-zmena,37,yes
politicke-hnuti-zmena,38,yes
politicke-hnuti-zmena,39,yes
politicke-hnuti-zmena,40,yes
politicke-hnuti-zmena,41,yes
politicke-hnuti-zmena,42,abstain
politicke-hnuti-zmena,43,abstain
politicke-hnuti-zmena,44,abstain
politicke-hnuti-zmena,45,yes
politicke-hnuti-zmena,46,yes
politicke-hnuti-zmena,47,yes
politicke-hnuti-zmena,48,abstain
politicke-hnuti-zmena,49,yes
politicke-hnuti-zmena,50,yes
politicke-hnuti-zmena,51,abstain
politicke-hnuti-zmena,52,yes
politicke-hnuti-zmena,53,no
politicke-hnuti-zmena,54,yes
politicke-hnuti-zmena,55,abstain
politicke-hnuti-zmena,56,yes
politicke-hnuti-zmena,57,abstain
politicke-hnuti-zmena,58,yes
politicke-hnuti-zmena,59,yes
politicke-hnuti-zmena,60,abstain
politicke-hnuti-zmena,61,abstain
politicke-hnuti-zmena,62,abstain
politicke-hnuti-zmena,63,yes
politicke-hnuti-zmena,64,yes
politicke-hnuti-zmena,65,yes
politicke-hnuti-zmena,101,abstain
politicke-hnuti-zmena,102,yes
politicke-hnuti-zmena,103,yes
politicke-hnuti-zmena,104,abstain
politicke-hnuti-zmena,105,no
politicke-hnuti-zmena,106,yes
politicke-hnuti-zmena,107,abstain
politicke-hnuti-zmena,108,no
politicke-hnuti-zmena,109,yes
politicke-hnuti-zmena,110,yes
politicke-hnuti-zmena,111,abstain
politicke-hnuti-zmena,112,no
politicke-hnuti-zmena,113,no
politicke-hnuti-zmena,114,yes
politicke-hnuti-zmena,115,abstain
politicke-hnuti-zmena,116,yes
politicke-hnuti-zmena,117,yes
politicke-hnuti-zmena,118,yes
politicke-hnuti-zmena,119,no
politicke-hnuti-zmena,120,no
volte-pravy-blok-www-cibulka-net,1,yes
volte-pravy-blok-www-cibulka-net,2,yes
