id,name,country_code,country,political_group,party
124990,Lars ADAKTUSSON,se,Sweden,Group of the European People's Party (Christian Democrats),Kristdemokraterna
124831,Isabella ADINOLFI,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
124797,Marco AFFRONTE,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
124811,Laura AGEA,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
96897,John Stuart AGNEW,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
125045,Clara Eugenia AGUILERA GARCÍA,es,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
124842,Daniela AIUTO,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
99650,Tim AKER,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
125048,Marina ALBIOL GUZMÁN,es,Spain,Confederal Group of the European United Left - Nordic Green Left,Izquierda Unida
96736,Jan Philipp ALBRECHT,de,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
34250,Nedzhmi ALI,bg,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe,Movement for Rights and Freedoms
30190,Louis ALIOT,fr,France,Europe of Nations and Freedom Group,Front national
1179,Michèle ALLIOT-MARIE,fr,France,Group of the European People's Party (Christian Democrats),Les Républicains
124949,Lucy ANDERSON,uk,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party
113959,Martina ANDERSON,uk,United Kingdom,Confederal Group of the European United Left - Nordic Green Left,Sinn Fein
124994,Max ANDERSSON,se,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna
113892,Eric ANDRIEU,fr,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste
125110,Nikos ANDROULAKIS,el,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Panhellenic Socialist Movement - Olive Tree
124973,Gerolf ANNEMANS,be,Belgium,Europe of Nations and Freedom Group,Vlaams Belang
124936,Maria ARENA,be,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti Socialiste
24922,Pascal ARIMONT,be,Belgium,Group of the European People's Party (Christian Democrats),Christlich Soziale Partei
124748,Marie-Christine ARNAUTU,fr,France,Europe of Nations and Freedom Group,Front national
124958,Jonathan ARNOTT,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
124773,Jean ARTHUIS,fr,France,Group of the Alliance of Liberals and Democrats for Europe,Union des Démocrates et Indépendants
28132,Richard ASHWORTH,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
28307,Francisco ASSIS,pt,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
124938,Janice ATKINSON,uk,United Kingdom,Europe of Nations and Freedom Group,-
28161,Margrete AUKEN,dk,Denmark,Group of the Greens/European Free Alliance,Socialistisk Folkeparti
124766,Petras AUŠTREVIČIUS,lt,Lithuania,Group of the Alliance of Liberals and Democrats for Europe,Lietuvos Respublikos liberalų sąjūdis
28292,Inés AYALA SENDER,es,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
4319,Pilar AYUSO,es,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
96937,Johannes Cornelis van BAALEN,nl,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,Volkspartij voor Vrijheid en Democratie
97293,Georges BACH,lu,Luxembourg,Group of the European People's Party (Christian Democrats),Parti chrétien social luxembourgeois
124744,Guillaume BALAS,fr,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste
96680,Zigmantas BALČYTIS,lt,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lietuvos socialdemokratų partija
96877,Zoltán BALCZÓ,hu,Hungary,Non-attached Members,Jobbik Magyarországért Mozgalom
96997,Burkhard BALZ,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
124871,Nikolay BAREKOV,bg,Bulgaria,European Conservatives and Reformists Group,Bulgaria without Censorship
124956,Amjad BASHIR,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
28497,Gerard BATTEN,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
124760,Nicolas BAY,fr,France,Europe of Nations and Freedom Group,Front national
125002,Hugues BAYET,be,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti Socialiste
96955,Catherine BEARDER,uk,United Kingdom,Group of the Alliance of Liberals and Democrats for Europe,Liberal Democrats
125040,Beatriz BECERRA BASTERRECHEA,es,Spain,Group of the Alliance of Liberals and Democrats for Europe,"Unión, Progreso y Democracia"
107041,Heinz K. BECKER,at,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei
124777,Tiziana BEGHIN,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
4507,Bas BELDER,nl,Netherlands,European Conservatives and Reformists Group,Staatkundig Gereformeerde Partij
28257,Ivo BELET,be,Belgium,Group of the European People's Party (Christian Democrats),Christen-Democratisch & Vlaams
96705,Bendt BENDTSEN,dk,Denmark,Group of the European People's Party (Christian Democrats),Det Konservative Folkeparti
124867,Brando BENIFEI,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
135490,Xabier BENITO ZILUAGA,es,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS
1985,Pervenche BERÈS,fr,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste
124740,Joëlle BERGERON,fr,France,Europe of Freedom and Direct Democracy Group,Sans étiquette
124819,Goffredo Maria BETTINI,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
