id,motion:name,motion:text
1,Generelles Tempolimit auf Autobahnen!,Generelles Tempolimit auf Autobahnen!
2,Der Kündigungsschutz soll gelockert werden.,Der Kündigungsschutz soll gelockert werden.
3,Am geplanten Ausstieg aus der Atomenergie soll festgehalten werden.,Am geplanten Ausstieg aus der Atomenergie soll festgehalten werden.
4,Benzinsteuern senken!,Benzinsteuern senken!
5,Die Türkei soll vollwertiges Mitglied der Europäischen Union werden können.,Die Türkei soll vollwertiges Mitglied der Europäischen Union werden können.
6,Die Mehrwertsteuer muss erhöht werden!,Die Mehrwertsteuer muss erhöht werden!
7,Einführung eines gesetzlichen Mindestlohns!,Einführung eines gesetzlichen Mindestlohns!
8,Erhöhung der Steuern für Spitzenverdiener/innen!,Erhöhung der Steuern für Spitzenverdiener/innen!
9,Das Dosenpfand soll abgeschafft werden.,Das Dosenpfand soll abgeschafft werden.
10,Alle Bürger/innen sollen sich in einer gesetzlichen Krankenkasse versichern müssen.,Alle Bürger/innen sollen sich in einer gesetzlichen Krankenkasse versichern müssen.
11,Im Ausland lebende Deutsche sollen in Deutschland Steuern zahlen müssen.,Im Ausland lebende Deutsche sollen in Deutschland Steuern zahlen müssen.
12,Die europäischen Agrarsubventionen müssen deutlich gesenkt werden.,Die europäischen Agrarsubventionen müssen deutlich gesenkt werden.
13,Die gemeinsame europäische Verteidigungspolitik soll ausgebaut werden.,Die gemeinsame europäische Verteidigungspolitik soll ausgebaut werden.
14,Die deutsche Steinkohle soll weiter subventioniert werden.,Die deutsche Steinkohle soll weiter subventioniert werden.
15,Die Bundeswehr soll für Aufgaben der inneren Sicherheit verstärkt eingesetzt werden dürfen.,Die Bundeswehr soll für Aufgaben der inneren Sicherheit verstärkt eingesetzt werden dürfen.
16,"Abgeordnete sollen verpflichtet werden, alle ihre Nebeneinkünfte zu veröffentlichen.","Abgeordnete sollen verpflichtet werden, alle ihre Nebeneinkünfte zu veröffentlichen."
17,Jedes Kind muss vor der Einschulung einen Sprachtest bestehen.,Jedes Kind muss vor der Einschulung einen Sprachtest bestehen.
18,Das Erststudium soll gebührenfrei sein.,Das Erststudium soll gebührenfrei sein.
19,Bildungspolitik soll ausschließlich Angelegenheit der Bundesländer sein.,Bildungspolitik soll ausschließlich Angelegenheit der Bundesländer sein.
20,BAföG sollte unabhängig vom Einkommen der Eltern gezahlt werden.,BAföG sollte unabhängig vom Einkommen der Eltern gezahlt werden.
21,"Der Staat soll im ersten Jahr der Elternzeit (""Erziehungsurlaub"") einen Lohnersatz zahlen.","Der Staat soll im ersten Jahr der Elternzeit (""Erziehungsurlaub"") einen Lohnersatz zahlen."
22,Frauen müssen auch ohne vorherige Beratung bis zum dritten Monat straffrei abtreiben dürfen.,Frauen müssen auch ohne vorherige Beratung bis zum dritten Monat straffrei abtreiben dürfen.
23,"Von allen Straftätern/innen sollen die DNA-Daten (""genetischer Fingerabdruck"") zentral erfasst werden.","Von allen Straftätern/innen sollen die DNA-Daten (""genetischer Fingerabdruck"") zentral erfasst werden."
24,Die Wehrpflicht soll abgeschafft werden.,Die Wehrpflicht soll abgeschafft werden.
25,Mehr Videoüberwachung von öffentlichen Plätzen!,Mehr Videoüberwachung von öffentlichen Plätzen!
26,"Gesetzliche Gleichstellung der ""Homo-Ehe""!","Gesetzliche Gleichstellung der ""Homo-Ehe""!"
27,Bei Bundestagswahlen: Wählen ab 16 Jahren!,Bei Bundestagswahlen: Wählen ab 16 Jahren!
28,Biometrische Daten (z.B. Fingerabdruck) sollen in den Personalausweis aufgenommen werden.,Biometrische Daten (z.B. Fingerabdruck) sollen in den Personalausweis aufgenommen werden.
29,Haschisch soll legalisiert werden.,Haschisch soll legalisiert werden.
30,Volksentscheide auch auf Bundesebene!,Volksentscheide auch auf Bundesebene!
