id,name,abbreviation
10,Poslanecký klub Levého bloku,LB
8,Poslanecký klub Křesťanské a demokratické unie - Československé strany lidové,KDU-ČSL
3,Poslanecký klub České strany sociálně demokratické,ČSSD
9,Poslanecký klub Komunistické strany Čech a Moravy,KSČM
7,Poslanecký klub Křesťansko demokratické strany I.,KDS1
2,Poslanecký klub Českomoravské unie středu,ČMUS
1,Poslanecký klub Českomoravské strany středu,ČMSS
14,Poslanecký klub Občanské demokratické aliance,ODA
11,Poslanecký klub Liberální strany národně sociální,LSNS
5,Poslanecký klub Hnutí za samosprávnou demokracii - strany Moravy a Slezska,HSD-SMS
13,Nezařazení,Nezařaz
15,Poslanecký klub Občanské demokratické strany,ODS
6,Poslanecký klub Křesťansko demokratické strany,KDS
12,Poslanecký klub Liberálně sociální unie,LSU
16,Poslanecký klub Občanského národního hnutí,ONH
17,Sdružení pro republiku - Republikánská strana Československa,SPR-RSČ
