id,start_date,motion:text,motion:result,motion:requirement
6240,1994-05-31T16:19:00,Vl. návrh novely silničního zákona,fail,simple majority
2861,1995-11-03T14:06:00,Vl.náv. zák. o střelných zbraních,fail,simple majority
6268,1994-06-01T16:35:00,Vl. návrh st. záv. účtu ČR za r. 1993,fail,simple majority
2935,1995-12-05T14:20:00,Zpráva vlády o plnění státního rozpočtu,pass,simple majority
4411,1995-02-09T09:07:00,Interpelace na min. zdrav. Rubáše,pass,simple majority
3820,1995-04-18T13:59:00,Nov.zák.o stavebním spoření,pass,simple majority
5333,1994-07-07T13:14:00,Vl.náv. zák. o zpravodaj. službách ČR,fail,simple majority
1983,1995-06-22T15:29:00,Vl.náv. novely zák. o st.správě ve školství,pass,simple majority
5319,1994-07-07T11:55:00,Návrh org.v. PS na výj. upušt. od zásad zák.,fail,simple majority
6962,1994-02-17T17:22:00,Vl.návrh zákona o zřízení ministerstev,pass,simple majority
4332,1995-02-07T14:12:00,Smlouva mezi ČR a Rep. Indonésie,pass,simple majority
6547,1993-12-03T08:39:00,Nov.zák.o spotřebních daních,fail,simple majority
4739,1994-12-13T16:43:00,Odpovědi členů vlády na interpelace posl.,fail,simple majority
4262,1995-03-16T17:25:00,Odpovědi členů vlády na interpelace posl.PS,pass,simple majority
1991,1995-06-22T15:37:00,Vl.náv. novely zák. o st.správě ve školství,pass,simple majority
6550,1993-12-03T09:33:00,Nov.zák.o daních z příjmů,fail,simple majority
2714,1995-11-03T09:28:00,Vl.náv.nov.zákona o lesích,fail,simple majority
4126,1995-04-20T16:56:00,Zkrácení zákonné lhůty zákonů,pass,simple majority
2256,1995-06-29T16:16:00,Vl.náv.novely zák. o daních z příjmů,pass,simple majority
6838,1994-02-16T11:43:00,Neplatné hlasování,fail,simple majority
2324,1995-06-29T21:56:00,Vl.náv.zákona o důchodovém pojištění,fail,simple majority
4810,1994-12-14T16:27:00,Vl.návrh zák. o státním rozp. ČR na rok 1995,fail,simple majority
4660,1994-12-08T17:19:00,Vl. návrh novely zák. o daních z příjmů,fail,simple majority
4428,1995-02-09T11:02:00,Odpověď př. vl. Klause na inter. posl. Krause,pass,simple majority
2836,1995-11-03T13:45:00,Vl.náv. zák. o střelných zbraních,fail,simple majority
5080,1994-11-03T14:56:00,Odpovědi členů vlády na interpelace,pass,simple majority
2931,1995-12-05T14:00:00,Změna pořadu,fail,simple majority
2532,1995-09-28T10:53:00,Odpovědi na interpelace,pass,simple majority
3540,1996-03-14T14:25:00,Vl.náv.zák.o provozování soukr.bezp.služeb b,fail,simple majority
5901,1996-04-25T10:09:00,Zadávání veřejných zakázek 3. čtení,pass,simple majority
6525,1993-12-02T12:57:00,Návrh zák. o zrušení st.tabák.monopolu,fail,simple majority
6394,1994-06-03T10:03:00,Vl.návrh zák.o barvení a značk. paliv a maziv,pass,simple majority
4020,1995-04-20T07:21:00,Návrh na změny v VMI,pass,simple majority
4135,1995-04-20T17:28:00,Zákon o spořitelních a úvěrních družstev,pass,simple majority
6669,1993-12-07T13:58:00,Návrh zák. o stát.rozpočtu ČR na r. 1994,fail,simple majority
1886,1995-06-20T13:07:00,Schválený pořad schůze,pass,simple majority
4154,1995-03-14T13:22:00,"Přeřazení T 1367, T 1465 do příští schůze",pass,simple majority
4987,1994-11-01T14:26:00,Návrh org. výb. na zkrácení zák.lhůty zákonů,pass,simple majority
7081,1994-03-23T11:27:00,Vl.návrh zák. o prod. a výv. předm. kult.hodn.,pass,simple majority
4894,1994-12-14T18:12:00,Vl. návrh zákona o dráhách,fail,simple majority
4211,1995-03-15T15:27:00,Náv. org.v.PS na vyj. zkrácení zák. lhůty,fail,simple majority
5962,1996-04-26T08:13:00,Novela zákona o investičních společnostech,fail,simple majority
6558,1993-12-03T09:42:00,Nov.zák.o daních z příjmů,pass,simple majority
1932,1995-06-22T10:06:00,Vl.náv.novely zák. o dani z přidané hodnoty,fail,simple majority
7014,1994-02-18T17:37:00,Zpráva z návštěvy delegace v SRN,pass,simple majority
2908,1995-11-03T16:57:00,Vl.náv.Smlouvy mezi ČR a Albánií,pass,simple majority
2821,1995-11-03T13:33:00,Vl.náv. zák. o střelných zbraních,fail,simple majority
4259,1995-03-16T17:09:00,Odpovědi členů vlády na interpelace posl.PS,fail,simple majority
2922,1995-12-05T13:54:00,Změna pořadu,pass,simple majority
4656,1994-12-08T17:15:00,Vl. návrh novely zák. o daních z příjmů,fail,simple majority
2234,1995-06-29T15:54:00,Vl.náv.novely zák. o daních z příjmů,fail,simple majority
4815,1994-12-14T16:33:00,Vl.návrh zák. o státním rozp. ČR na rok 1995,fail,simple majority
2756,1995-11-03T10:14:00,Vl.náv.nov.zákona o lesích,fail,simple majority
2095,1995-06-27T13:39:00,Odpovědi členů vlády na interpelace,fail,simple majority
4303,1995-03-17T10:53:00,Odpovědi členů vlády na interpelace posl.PS,pass,simple majority
3745,1995-05-26T13:10:00,Volba předsedy MIV PSP ČR,pass,simple majority
2750,1995-11-03T10:13:00,Vl.náv.nov.zákona o lesích,pass,simple majority
6946,1994-02-17T14:18:00,Odp. členů vlády na interpelace,fail,simple majority
3109,1995-12-20T11:39:00,Posl. náv. nov. zák. o zadávání veřej. zakázek,pass,simple majority
6540,1993-12-03T08:29:00,Nov.zák.o spotřebních daních,pass,simple majority
6538,1993-12-02T17:36:00,Návrh zák. o zrušení st.tabák.monopolu,pass,simple majority
2561,1995-09-28T14:02:00,Náv.novely zákona - Ústava ČR,fail,simple majority
2370,1995-09-26T13:52:00,Změna programu,pass,simple majority
4584,1994-12-07T15:31:00,Vl.návrh novely zák. o dani z přidané hodnoty,fail,simple majority
3939,1995-04-19T13:28:00,Zák. o jednacím řádu PS,fail,simple majority
3858,1995-04-19T09:48:00,Zák. o jednacím řádu PS,fail,simple majority
5950,1996-04-26T07:47:00,Vl. návrh zák. o platu představ. st. moci,pass,simple majority
5457,1994-07-09T13:42:00,Posl.náv.zák. o úpravě vlast.vztahů k půdě,pass,simple majority
4230,1995-03-16T15:34:00,Zpráva o kontrole činnosti BIS ČR,pass,simple majority
2859,1995-11-03T14:06:00,Vl.náv. zák. o střelných zbraních,fail,simple majority
6922,1994-02-17T12:03:00,Odp. členů vlády na interpelace,fail,simple majority
2243,1995-06-29T15:54:00,Vl.náv.novely zák. o daních z příjmů,fail,simple majority
6726,1993-12-08T18:27:00,Výroční zpráva BIS za rok 1993,pass,simple majority
2203,1995-06-29T13:10:00,Náv. org.v. na upušt. od zásad zákonů,pass,simple majority
4454,1995-02-09T14:56:00,Odpovědi členů vlády na interpelace poslanců,fail,simple majority
6779,1993-12-09T16:41:00,Odpovědi členů vlády na interpelace,pass,simple majority
5925,1996-04-25T10:09:00,Zadávání veřejných zakázek 3. čtení,pass,simple majority
4429,1995-02-09T11:13:00,Odpověď př. vl. Klause na inter. posl. Valenty,fail,simple majority
2860,1995-11-03T14:06:00,Vl.náv. zák. o střelných zbraních,fail,simple majority
5965,1996-04-26T08:17:00,Novela zákona o investičních společnostech,pass,simple majority
2021,1995-06-23T08:39:00,Vl.náv. ústav.zák. o vyš.územ.samospr.celcích,fail,simple majority
4027,1995-04-20T08:28:00,Odpovědi na interpelace,pass,simple majority
3220,1996-02-08T08:17:00,Potvrzení stavu legisl. nouze,pass,simple majority
6989,1994-02-18T15:34:00,Návrh posl.Dobala o úpravě maj.vztahů FŽO,pass,simple majority
2801,1995-11-03T13:13:00,Vl.náv. zák. o střelných zbraních,pass,simple majority
2927,1995-12-05T13:57:00,Změna pořadu,fail,simple majority
4281,1995-03-17T09:51:00,Vl.náv. novely zák. o VZP,fail,simple majority
4710,1994-12-13T14:28:00,Odpovědi členů vlády na interpelace posl.,pass,simple majority
5361,1994-07-08T09:03:00,Odp.členů vlády na interpelace poslanců,fail,simple majority
4444,1995-02-09T14:34:00,Odpověď min.fin. Kočárníka na int.posl. Čapka,fail,simple majority
2874,1995-11-03T14:17:00,Vl.náv. zák. o střelných zbraních,fail,simple majority
3533,1996-03-14T13:24:00,Vl.náv.novely autorského zákona,pass,simple majority
4046,1995-04-20T09:38:00,Odpovědi na interpelace,fail,simple majority
3124,1995-12-20T15:20:00,Náv. zdravotně pojistných plánů VZP ČR,pass,simple majority
7237,1994-04-26T11:35:00,,pass,simple majority
5492,1994-07-09T15:14:00,Náv.na vzetí zpět náv.o st.správě ochr.ovzduší,pass,simple majority
4864,1994-12-14T17:55:00,Vl. návrh zákona o dráhách,fail,simple majority
4706,1994-12-13T14:14:00,Odpovědi členů vlády na interpelace posl.,fail,simple majority
1887,1995-06-20T13:10:00,Zpět vzetí T 1589,pass,simple majority
3097,1995-12-19T15:43:00,Uvolnění některých objektů min. kultury,pass,simple majority
3370,1996-02-15T10:59:00,Vl.náv.zák. opatřeních proti legal trest.čin,pass,simple majority
7076,1994-03-23T11:22:00,Vl.návrh zák. o prod. a výv. předm. kult.hodn.,pass,simple majority
5133,1994-09-27T12:43:00,,fail,simple majority
3178,1996-02-06T14:05:00,Pořad 39. schůze PS,pass,simple majority
7039,1994-03-22T13:15:00,Návrh org.výb. na výjim.upušt.od proj.zás.zák.,pass,simple majority
7191,1994-03-24T13:45:00,Novela zák.o správních poplatcích,pass,simple majority
4634,1994-12-08T15:20:00,Vl.náv.nov.zák. o okresních úřadech,pass,simple majority
2214,1995-06-29T15:42:00,Vl.náv.novely zák. o daních z příjmů,pass,simple majority
3335,1996-02-14T18:15:00,Doh. s Rep. Slovinsko o volném obchodu,pass,simple majority
5797,1996-04-24T14:54:00,Posl. náv. o VÚSC,fail,simple majority
6201,1994-05-31T11:39:00,,pass,simple majority
3944,1995-04-19T13:30:00,Zák. o jednacím řádu PS,pass,simple majority
2552,1995-09-28T11:31:00,Vl.náv.zák. o nezisk.práv.osobách a daních h,pass,simple majority
6939,1994-02-17T14:05:00,Odp. členů vlády na interpelace,fail,simple majority
7160,1994-03-24T10:28:00,Vl.návrh zák.-vlastn.vztahy k bytům,fail,simple majority
2843,1995-11-03T13:52:00,Vl.náv. zák. o střelných zbraních,fail,simple majority
1899,1995-06-20T13:36:00,Náv. usn.PS k problem. reformy veřej.správy,fail,simple majority
3555,1996-03-15T08:35:00,Vl.náv.zák.o provozování soukr.bezp.služeb b,pass,simple majority
3493,1996-03-14T08:40:00,Vl.náv. novely katastrálního zákona,pass,simple majority
3657,1995-05-24T13:42:00,Volba člena výboru FDM,pass,simple majority
3682,1995-05-25T10:13:00,odpovědi na interpelace,pass,simple majority
5160,1994-09-27T17:18:00,Návrh na změny členství ve vyšetř. komisi PS,pass,simple majority
2188,1995-06-29T08:12:00,Vl.náv.novely trestního zákona,fail,simple majority
5135,1994-09-27T12:45:00,,pass,simple majority
6255,1994-06-01T13:29:00,Návrh rozpočtu Fondu nár. majetku ČR na 1994,fail,simple majority
5528,1994-07-09T19:30:00,Vl.náv.-Dohoda mezi vl.ČR a vl.Ruské federacee,pass,simple majority
6706,1993-12-08T10:32:00,Nov.zák.o přev. majetku státu na jiné osoby,pass,simple majority
7156,1994-03-24T10:19:00,Vl.návrh zák.-vlastn.vztahy k bytům,pass,simple majority
2435,1995-09-27T15:18:00,Nov.zák. o výkonu funkcí ve stát.orgánech,pass,simple majority
2071,1995-06-27T12:54:00,Odpovědi členů vlády na interpelace,fail,simple majority
3234,1996-02-08T14:06:00,Vl.náv.nov.zák.o úpravě vlast.vztahů k půdě,fail,simple majority
4622,1994-12-08T13:53:00,Vl.návrh zák. o rozhl. a TV poplatcích,pass,simple majority
3279,1996-02-09T11:56:00,Vl.náv.nov.zák.o platu v rozpočt.org.,pass,simple majority
3698,1995-05-25T13:08:00,Odpovědi na interpelace,fail,simple majority
4750,1994-12-13T17:01:00,Odpovědi členů vlády na interpelace posl.,fail,simple majority
2034,1995-06-23T09:08:00,Vl.náv. ústav.zák. o vyš.územ.samospr.celcích,fail,simple majority
4080,1995-04-20T14:30:00,Zák. o státní statistické službě,fail,simple majority
5303,1994-07-07T11:43:00,,pass,simple majority
3634,1995-05-24T10:13:00,Náv. zák. o silniční dopravě,fail,simple majority
5167,1994-09-27T17:25:00,Návrh na změny členství ve vyšetř. komisi PS,pass,simple majority
3512,1996-03-14T09:08:00,Vl.náv.zák.o ochraně Žatec.poloran.červeň.,pass,simple majority
2717,1995-11-03T09:28:00,Vl.náv.nov.zákona o lesích,fail,simple majority
2450,1995-09-27T17:07:00,Náv. zák. o volbách do Parlamentu ČR,fail,simple majority
2709,1995-11-03T09:28:00,Vl.náv.nov.zákona o lesích,fail,simple majority
2061,1995-06-27T10:47:00,Odpovědi členů vlády na interpelace,fail,simple majority
6244,1994-05-31T16:24:00,Vl. návrh novely silničního zákona,fail,simple majority
2656,1995-11-02T11:10:00,Vl.náv.nov.zák. o obcích,pass,simple majority
5908,1996-04-25T10:09:00,Zadávání veřejných zakázek 3. čtení,pass,simple majority
2866,1995-11-03T14:06:00,Vl.náv. zák. o střelných zbraních,fail,simple majority
5321,1994-07-07T12:02:00,Návrh org. v. PS na výj.zkrác.zák. lhůty,pass,simple majority
7188,1994-03-24T13:37:00,Novela zák.o správních poplatcích,pass,simple majority
3055,1995-12-12T16:08:00,Vl.náv.zák.o st.rozpočtu na r.1996,fail,simple majority
4063,1995-04-20T12:12:00,Odpovědi na interpelace,fail,simple majority
2036,1995-06-23T09:11:00,Vl.náv. ústav.zák. o vyš.územ.samospr.celcích,fail,simple majority
5448,1994-07-09T13:35:00,Posl.náv.zák. o úpravě vlast.vztahů k půdě,fail,simple majority
4127,1995-04-20T16:57:00,Přehled výše platů a odměn stát. úřed. v r.1995,pass,simple majority
5521,1994-07-09T19:09:00,Návrh na zrušení usn. Měst.rady v Rakovníku,pass,simple majority
3842,1995-04-19T08:18:00,Nov. zák. o působ. St.úřadu pro jadernou bezp.,pass,simple majority
2466,1995-09-27T17:12:00,Náv. zák. o volbách do Parlamentu ČR,fail,simple majority
4111,1995-04-20T16:12:00,Náv. usnes. PS-projed.finanč.zpr.polit.stran,pass,simple majority
2736,1995-11-03T09:52:00,Vl.náv.nov.zákona o lesích,fail,simple majority
6263,1994-06-01T16:26:00,Vl. návrh st. záv. účtu ČR za r. 1993,fail,simple majority
2119,1995-06-27T14:47:00,Odpovědi členů vlády na interpelace,fail,simple majority
3897,1995-04-19T10:31:00,Zák. o jednacím řádu PS,fail,simple majority
5902,1996-04-25T10:09:00,Zadávání veřejných zakázek 3. čtení,pass,simple majority
3369,1996-02-15T10:59:00,Vl.náv.zák. opatřeních proti legal trest.čin,pass,simple majority
4249,1995-03-16T16:51:00,Odpovědi členů vlády na interpelace posl.PS,fail,simple majority
3328,1996-02-14T14:17:00,Posl.náv.zák. o státním jazyce ČR,pass,simple majority
2451,1995-09-27T17:10:00,Náv. zák. o volbách do Parlamentu ČR,fail,simple majority
6783,1993-12-09T17:26:00,Odpovědi členů vlády na interpelace,fail,simple majority
4572,1994-12-07T15:18:00,Vl.návrh novely zák. o dani z přidané hodnoty,fail,simple majority
7006,1994-02-18T16:34:00,Návrh posl.Dobala o úpravě maj.vztahů FŽO,fail,simple majority
4385,1995-02-08T13:43:00,Nov.zák. o zrušení st. tabák. monopolu,pass,simple majority
3130,1995-12-20T15:30:00,Náv. zdravotně pojistných plánů VZP ČR,fail,simple majority
5446,1994-07-09T13:33:00,Posl.náv.zák. o úpravě vlast.vztahů k půdě,fail,simple majority
3468,1996-03-13T14:30:00,Vládní návrh zákona o daních z příjmů,pass,simple majority
2022,1995-06-23T08:39:00,Vl.náv. ústav.zák. o vyš.územ.samospr.celcích,fail,simple majority
3060,1995-12-12T16:14:00,Vl.náv.zák.o st.rozpočtu na r.1996,pass,simple majority
6408,1994-06-03T13:50:00,Návrh zák. o volbách do zastup. v obcích,pass,simple majority
2621,1995-11-01T09:37:00,Vl. návrh zákona na změnu živnost. zákona,fail,simple majority
