id,name,abbreviation
pri,Partido Revolucionario Institucional,PRI
na,Nueva Alianza,NA
pt,Partido del Trabajo,PT
conv,Convergencia,CONV
alt,Alternativa,ALT
pan,Partido Acción Nacional,PAN
pvem,Partido Verde Ecologista de México,PVEM
ind,Diputados sin partido,IND
prd,Partido de la Revolución Democrática,PRD
psd,Partido Socialdemócrata,PSD
