id,start_date,motion:title,motion:legislative_session
60-451,2008-12-11,"DECRETO QUE REFORMA Y ADICIONA LOS ARTÍCULOS 3 Y 31 DE LA C.P.E.U.M. Y DEROGA EL ARTÍCULO 5 TRANSITORIO DEL DECRETO POR QUE SE APRUEBA EL DIVERSO QUE ADICIONA EL ARTÍCULO 3 EN SU PÁRRAFO PRIMERO, FRACCIÓN III, V Y VI Y EL ARTÍCULO 31 EN SU FRACCIÓN I DE LA C.P.E.U.M. (EN LO PARTICULAR EL ARTICULO 3o. FRACCION IV RESERVADO, EN SUS TÉRMINOS)",Primer Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-489,2009-03-05,"DECRETO QUE REFORMA,  ADICIONA Y DEROGA DIVERSAS DISPOSICIONES A LA LEY GENERAL DE SALUD (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-488,2009-03-05,"DECRETO QUE REFORMA EL ARTICULO 51 Y ADICIONA LOS ARTICULOS 51 BIS 1,  51 BIS 2,  51 BIS 3,  DE LA LEY GENERAL DE SALUD (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-485,2009-03-05,"DECRETO QUE REFORMA DIVERSAS DISPOSICIONES DE LA LEY GENERAL PARA LA IGUALDAD ENTRE MUJERES Y HOMBRES,  LA LEY DE VIVIENDA Y LA LEY FEDERAL DE FOMENTO A LAS ACTIVIDADES REALIZADAS POR ORGANIZACIONES DE LA SOCIEDAD CIVIL (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-456,2009-02-10,DECRETO QUE REFORMA EL ARTICULO 61 DE LA LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-487,2009-03-05,"DECRETO QUE REFORMA LOS ARTICULOS 19, 27,  TERCER PARRAFO, 28,  FRACCION I, 33,  Y SE ADICIONA EL ARTICULO 87 CON UN PARRAFO TERCERO DE LA LEY DE AMPARO,  REGLAMENTARIA DE LOS ARTICULOS 103 Y 107 DE LA CPEUM (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-452,2008-12-11, CINCO DECRETOS QUE CONCEDEN PERMISO A 14 CIUDADANOS MEXICANOS PARA ACEPTAR Y USAR CONDECORACIONES QUE LES CONFIEREN GOBIERNOS EXTRANJEROS (EN LO GENERAL Y EN LO PARTICULAR),Primer Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-481,2009-03-05,DECRETO QUE REFORMA Y ADICIONA EL ARTICULO 6o. DE LA LEY GENERAL DE POBLACION ( EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-480,2009-03-05,DECRETO QUE REFORMA EL ARTICULO 38 DE LA LEY FEDERAL PARA PREVENIR Y ELIMINAR LA DISCRIMINACION (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-483,2009-03-05,"DECRETO QUE ADICIONA UN ARTICULO SEGUNDO TRANSITORIO AL DECRETO DE REFORMAS EN FAVOR DE LOS VETERANOS DE LA REVOLUCION COMO SERVIDORES,  PUBLICADO EN EL DOF EL 19 DE ENERO DE 1967 (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-457,2009-02-10,"DECRETO QUE REFORMA EL SEGUNDO PARRAFO DE LA FRACCION III DEL ARTICULO 22 Y EL PRIMER PARRAFO DEL ARTICULO 27 DE LA LEY DE ADQUISIONES,  ARRENDAMIENTOS Y SERVICIOS DEL  SECTOR PUBLICO (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-510,2009-03-31,DECRETO QUE REFORMA Y ADICIONA DIVERSAS DISPOSICIONES DEL CODIGO FISCAL DE LA FEDERACION Y DE LA LEY DEL SERVICIO DE ADMINISTRACION TRIBUTARIA (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-556,2009-04-21,"DECRETO QUE REFORMA EL PARRAFO PRIMERO Y DEROGA EL PARRAFO TERCERO DEL ARTICULO 3 BIS DE LA LEY DE AMPARO,  REGLAMENTARIA DE LOS ARTICULOS 103 Y 107 DE LA CPEUM (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-454,2009-02-05,"POR ELQUE LA CAMARA DE DIPUTADOS DEL CONGRESO DE LA UNION,  ACUERDA CITAR A COMPARECER AL SECRETARIO DE SALUD Y AL DIRECTOR JURIDICO DE ESA DEPENDENCIA (SI SE APRUEBA)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-455,2009-02-10,DECRETO QUE REFORMA EL ARTICULO 56 DE LA LEY DE INSTITUCIONES DE CREDITO (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-346,2008-06-20,"DECRETO QUE REFORMA LOS ARTICULOS 69 Y 93 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS (EN LO PARTICULAR EL ARTÍCULO 93 RESERVADO, EN SUS TÉRMINOS)",Primer Período de Sesiones Extraordinarias del Segundo Receso del Segundo Año
60-228,2007-12-04,"DECRETO QUE ADICIONA LA FECHA 24 DE AGOSTO, FIRMA DE LOS TRATADOS DE CORDOBA, QUE RECONOCEN LA INDEPENDENCIA DE MEXICO, EN 1821, AL INCISO A) DEL ARTICULO 18 DE LA LEY SOBRE EL ESCUDO, LA BANDERA Y EL HIMNO NACIONALES. (EN LO GENERAL Y EN LO PARTICULAR)",Primer Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-149,2007-09-13,DECRETO POR EL QUE SE EXPIDE LA LEY DEL IMPUESTO A LOS DEPÓSITOS EN EFECTIVO. (EN LO GENERAL Y EN LO PARTICULAR LOS ARTICULOS NO IMPUGNADOS),Primer Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-519,2009-04-02,DECRETO QUE ADICIONA LA FRACCION IV AL ARTICULO 64 DE LA LEY GENERAL DE SALUD (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-286,2008-03-26,DECRETO QUE ADICIONA UN PARRAFO AL ARTICULO 46 DE LA LEY ORGANICA DEL CONGRESO GENERAL DE LOS ESTADOS UNIDOS MEXICANOS (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-328,2008-04-30,DECRETO QUE ADICIONA UN PARRAFO TERCERO AL ARTICULO 315 BIS DEL CODIGO PENAL FEDERAL (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-329,2008-04-30,DECRETO QUE REFORMA EL PRIMER PARRAFO DEL ARTICULO 247 DEL CODIGO PENAL FEDERAL (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-484,2009-03-05,"DECRETO QUE REFORMA EL ULTIMO PARRAFO Y SE ADICIONAN LAS FRACCIONES III Y IV,  RECORRIENDOSE LA ACTUAL III PARA PASAR A SER V DEL ARTICULO 6 DE LA LEY DE LA COMISION NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDIGENAS (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-324,2008-04-30,DECRETO QUE ADICIONA EL ARTICULO 39 DE LA LEY GENERAL DE INSTITUCIONES Y SOCIEDADES MUTUALISTAS DE SEGUROS (EN LO GENERAL  Y EN LO PARTICUALR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-325,2008-04-30,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DE LA LEY ORGANICA DE SOCIEDAD HIPOTECARIA FEDERAL Y DEROGA EL ART. NOVENO TRANSITORIO DEL DECRETO QUE EXPIDE LA LEY ORGANICA DE SHF, PUBLICADO EN EL DOF EL 11 DE OCT DE 2001 (EN LO GENERAL Y EN LO PARTICULAR LOS ARTS. NO RESERVADOS)",Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-326,2008-04-30,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DE LA LEY ORGANICA DE SOCIEDAD HIPOTECARIA FEDERAL Y DEROGA EL ART. NOVENO TRANSITORIO DEL DECRETO QUE EXPIDE LA LEY ORGANICA DE SHF, PUBLICADO EN EL DOF EL 11 DE OCT DE 2001 (EN LO PARTICULAR EL ARTICULO CUARTO EN SUS TERMINOS)",Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-327,2008-04-30,DECRETO QUE DEROGA EL CAPITULO IV DEL TITULO DECIMOQUINTO DEL LIBRO SEGUNDO DEL CODIGO PENAL FEDERAL (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-320,2008-04-30,DECRETO QUE REFORMA EL ARTICULO 69 DE LA CONSTITUC ION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-321,2008-04-30,DECRETO QUE REFORMA Y ADICIONA DIVERSAS DISPOSICIONES DE LA LEY GENERAL DE EDUCACION (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-322,2008-04-30,DECRETO POR EL QUE SE EXPIDE LAL LEY DE FOMENTO PARA LA LECTURA Y EL LIBRO (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-323,2008-04-30,DECRETO QUE EXPIDE LA LEY DE UNIONES DE CREDITO Y SE ADICIONA Y REFORMA LA LEY GENERAL DE TITULOS Y OPERACIONES DE CREDITO (EN LO GENERAL  Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año de Ejercicio
60-486,2009-03-05,DECRETO QUE REFORMA LOS ARTICULOS 39 Y 90 DE LA LEY ORGANICA DEL CONGRESO GENERAL DE LOS ESTADOS UNIDOS MEXICANOS (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año de Ejercicio
60-19,2006-11-16,TRES DECRETOS QUE CONCEDEN PERMISO A 15 CC. PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS. (EN LO GENERAL Y EN LO PARTICULAR),Primer Período de Sesiones Ordinarias del Primer Año
60-18,2006-11-14,CINCO DECRETOS QUE CONCEDEN PERMISO A 1 CC. PARA DESEMPEÑAR CARGO EN REPRESENTACIÓN EXTRANJERA Y A 14 CC. PARA ACEPTAR Y USAR CONDECORACIONES QUE LES CONFIEREN GOBIERNOS EXTRANJEROS. (EN LO GENERAL Y EN LO PARTICULAR),Primer Período de Sesiones Ordinarias del Primer Año
60-17,2006-11-09,"PUNTO DE ACUERDO POR EL QUE SE SOLICITA A LA PGR, INFORME A ESTA SOBERANÍA EL RESULTADO DE SUS INVESTIGACIONES RESPECTO DE LA DENUNCIA DE HECHOS PRESENTADA POR LEGISLADORES DE LA LIX LEGISLATURA, POR EL OTORGAMIENTO DEL COMODATO DEL ANTIGUO ORATORIO DE SAN FELIPE NERI. (SI SE CONSIDERA DE URGENTE RESOLUCIÓN)",Primer Período de Sesiones Ordinarias del Primer Año
