id,name,group_id,election_type,state,district,cabecera,curul
60-963,Morales Manzo Jesús Ricardo,prd,Representación proporcional,Puebla,4,,H-279
60-117,Lizaola de la Torre Alonso Manuel,pan,Mayoría Relativa,Jalisco,11,Guadalajara,K-373
60-966,Sánchez Valdéz Eva Angelina,prd,Representación proporcional,Distrito Federal,4,,L-458
60-428,Ibarra Franquez Sonia Nohelia,prd,Representación proporcional,Nayarit,1,,H-283
60-4,Rueda Gómez Francisco,pan,Mayoría Relativa,Baja California,1,Mexicali,I-294
60-429,Cervantes Rivera Jaime,pt,Representación proporcional,Nayarit,1,,D-116
60-143,Sánchez Juárez Claudia,pan,Mayoría Relativa,México,18,Huixquilucan,K-378
60-142,Martínez Padilla Hugo Eduardo,prd,Mayoría Relativa,México,17,Ecatepec de Morelos,E-154
60-141,Pérez Cruz Raciel,prd,Mayoría Relativa,México,16,Ecatepec de Morelos,E-156
60-140,Landero Gutiérrez Alejandro,pan,Mayoría Relativa,México,15,Tlanepantla de Baz,A-012
60-147,Alcalde Virgen Moisés,pan,Mayoría Relativa,México,22,Naucalpan de Juárez,E-123
60-146,Olvera Higuera Edgar Armando,pan,Mayoría Relativa,México,21,Naucalpan de Juárez,J-343
60-145,Zepeda Hernández Martín,prd,Mayoría Relativa,México,20,Nezahualcóyotl,F-195
60-144,Del Toro Mario Enrique,prd,Mayoría Relativa,México,19,Tlanepantla de Baz,D-114
60-149,Godoy Cárdenas Jorge,conv,Mayoría Relativa,México,24,Naucalpán de Juárez,B-040
60-148,Colín Guadarrama María Mercedes,pri,Mayoría Relativa,México,23,Valle de Bravo,L-445
60-569,Gil Ramírez Moisés,prd,Mayoría Relativa,Distrito Federal,24,,M-500
60-564,Macedo Escartín Miguel Ángel,prd,Mayoría Relativa,Distrito Federal,19,,K-415
60-560,Denegre Vaught Ramírez Rosaura Virginia,pan,Mayoría Relativa,Distrito Federal,15,,H-245
60-45,Duarte Jáquez César,pri,Mayoría Relativa,Chihuahua,9,Hidalgo del Parral,P-512
60-44,Reyes López Carlos Armando,pan,Mayoría Relativa,Chihuahua,8,Chihuahua,A-002
60-47,González Garza Javier,prd,Mayoría Relativa,Distrito Federal,2,Gustavo A. Madero,I-327
60-46,Lozano Lozano Andrés,prd,Mayoría Relativa,Distrito Federal,1,Gustavo A. Madero,K-411
60-41,González Ruiz Felipe,pan,Mayoría Relativa,Chihuahua,5,Delicias,H-251
60-40,Valencia De los Santos Víctor Leopoldo,pri,Mayoría Relativa,Chihuahua,4,Ciudad Juárez,K-404
60-43,Beltrán Montes Israel,pri,Mayoría Relativa,Chihuahua,7,Cuauhtémoc,K-401
60-42,Flores Domínguez Emilio Ramón Ramiro,pan,Mayoría Relativa,Chihuahua,6,Chihuahua,I-289
60-49,Alonso Flores Lourdes,prd,Mayoría Relativa,Distrito Federal,4,Iztapalapa,J-368
60-48,Pacheco LLanes Ramón Félix,prd,Mayoría Relativa,Distrito Federal,3,Azcapotzalco,L-453
60-212,Herrera Coyac Wenceslao,pri,Mayoría Relativa,Puebla,4,Zacapoaxtla,K-393
60-341,Cuevas Melo Abel Ignacio,pan,Representación proporcional,Veracruz,3,,C-054
60-340,Nordhausen González Jorge Rubén,pan,Representación proporcional,Campeche,3,,M-462
60-343,Joaquín Coldwell Addy Cecilia,pan,Representación proporcional,Quintana Roo,3,,F-169
60-416,Camacho Quiroz César Octavio,pri,Representación proporcional,México,5,,K-397
