id,name,abbreviation,votes
4,Změna pro Liberec,ZPL,yes
3,Starostové pro Liberecký kraj,SLK,yes
10,Strana svobodných občanů,Svobodní,yes
8,TOP 09,TOP 09,yes
9,Liberec ještě žije,LJŽ,yes
7,Strana pro otevřenou společnost,SOS,yes
6,KDU-ČSL a nezávislí,KDU-ČSL,yes
1,Nový směr,NOS,yes
5,Úsvit přímé demokracie,Úsvit,yes
11,Komunistická strana Čech a Moravy,KSČM,yes
13,ANO 2011,ANO,yes
2,Česká strana sociálně demokratická,ČSSD,no
12,Občanská demokratická strana,ODS,no
15,Pro sport a zdraví,PSZ,no
14,SPOZ,SPOZ,no
