id,name,abbreviation,result
1,Dělnická strana sociální spravedlnosti,DSSS,3.34
2,Strana svobodných občanů,Svobodní,2.44
3,Suverenita-Strana zdravého rozumu,Suverenita-SZR,0.95
4,Národní socialisté - levice 21. století,NS-LEV21,2.05
5,Koalice pro Karlovarský kraj,Koalice KK,4.66
6,Česká strana sociálně demokratická,ČSSD,22.73
7,TOP 09 a Starostové,TOP09+STAN,7.38
8,Občanská demokratická strana,ODS,9.79
9,Česká pirátská strana,Piráti,2.44
10,Věci veřejné,VV,0.68
