id,name,state
51-1,ALCESTE ALMEIDA,Roraima
51-2,AIRTON CASCAVEL,Roraima
51-3,FRANCISCO RODRIGUES,Roraima
51-4,LUCIANO CASTRO,Roraima
51-5,LUIS BARBOSA,Roraima
51-6,ALMIR SÁ,Roraima
51-7,ROBÉRIO ARAÚJO,Roraima
51-8,SALOMÃO CRUZ,Roraima
51-9,ANTONIO FEIJÃO,Amapá
51-10,BADU PICANÇO,Amapá
51-11,FÁTIMA PELAES,Amapá
51-12,DR. BENEDITO DIAS,Amapá
51-14,EDUARDO SEABRA,Amapá
51-15,EVANDRO MILHOMEN,Amapá
51-16,SÉRGIO BARCELLOS,Amapá
51-17,JURANDIL JUAREZ,Amapá
51-18,DEUSDETH PANTOJA,Pará
51-19,ANIVALDO VALE,Pará
51-21,BABÁ,Pará
51-22,ELCIONE BARBALHO,Pará
51-23,GERSON PERES,Pará
51-24,NAIR XAVIER LOBO,Goiás
51-25,GIOVANNI QUEIROZ,Pará
51-27,JOSÉ PRIANTE,Pará
51-28,NICIAS RIBEIRO,Pará
51-29,JOSUÉ BENGTSON,Pará
51-30,PAULO ROCHA,Pará
51-31,NILSON PINTO,Pará
51-32,RAIMUNDO SANTOS,Pará
51-33,RENILDO LEAL,Pará
51-34,ZENALDO COUTINHO,Pará
51-35,VIC PIRES FRANCO,Pará
51-36,FRANCISCO GARCIA,Amazonas
51-37,ARTHUR VIRGÍLIO,Amazonas
51-38,ÁTILA LINS,Amazonas
51-39,SILAS CÂMARA,Amazonas
51-40,VANESSA GRAZZIOTIN,Amazonas
51-41,JOSÉ MELO,Amazonas
51-42,LUIZ FERNANDO,Amazonas
51-43,PAUDERNEY AVELINO,Amazonas
51-44,AGNALDO MUNIZ,Rondonia
51-45,CONFÚCIO MOURA,Rondonia
51-46,NILTON CAPIXABA,Rondonia
51-47,EURÍPEDES MIRANDA,Rondonia
51-48,EXPEDITO JÚNIOR,Rondonia
51-49,OSCAR ANDRADE,Rondonia
51-50,MARINHA RAUPP,Rondonia
51-51,SÉRGIO CARVALHO,Rondonia
51-53,ILDEFONÇO CORDEIRO,Acre
51-54,JOÃO TOTA,Acre
51-55,MÁRCIO BITTAR,Acre
51-56,MARCOS AFONSO,Acre
51-57,NILSON MOURÃO,Acre
51-58,SÉRGIO BARROS,Acre
51-59,ZILA BEZERRA,Acre
51-60,ANTÔNIO JORGE,Tocantins
51-61,DARCI COELHO,Tocantins
51-62,IGOR AVELINO,Tocantins
51-63,FREIRE JÚNIOR,Tocantins
51-64,JOÃO RIBEIRO,Tocantins
51-65,OSVALDO REIS,Tocantins
51-66,PAULO MOURÃO,Tocantins
