id,date,motion:title,motion:legislative_session,motion:legislative_session_type,motion:session,motion:session_type,count:yes,count:no,count:abstain,count:obstraction,count:blank
51-765.TX,2002-04-10T21:23:51,MPV Nº 14/2001 - DVS  PT -  ARTIGO 4º,CD04,ordinary,6,extraordinary,248,130,4,2,0
51-766.TX,2002-04-11T11:56:30,MPV Nº 15/2001 - REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO,CD04,ordinary,6,extraordinary,72,248,1,7,0
51-767.tx,2002-04-11T13:56:08,MPV Nº 15/2001 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR DUAS SESSÕES,CD04,ordinary,6,extraordinary,19,225,2,51,0
51-769.TX,2002-04-16T17:36:27,MPV Nº 16/2001 - MEDIDA PROVISÓRIA,CD04,ordinary,6,ordinary,279,35,1,0,0
51-771.TX,2002-04-17T12:43:18,"MPV Nº 26/2002 - DESTAQUE DE EXPRESSÃO ""EXPURGADOS........ORGÃO"" § 1º ART. 2 º",CD04,ordinary,7,extraordinary,305,105,2,6,0
51-772.TX,2002-04-17T17:21:04,MPV Nº 22/2002 - REQUERIMENTO  DE ADIAMENTO DA DISCUSSÃO,CD04,ordinary,7,ordinary,41,302,0,4,0
51-773.TX,2002-04-23T18:18:31,PEC Nº 407/2001 - DVS PTB - ART. 88º (ART. 4º),CD04,ordinary,7,ordinary,395,42,1,0,0
51-774.TX,2002-04-23T19:24:22,PEC Nº 407/2001 - DVS PSB / PCdoB - INCISO III DO ART. 85º  (ART. 4º),CD04,ordinary,7,ordinary,327,117,2,0,0
51-775.TX,2002-04-23T19:43:02,PEC Nº 289/2000 - SEGUNDO TURNO,CD04,ordinary,8,extraordinary,373,0,0,0,0
51-777.TX,2002-04-24T19:03:30,RECURSO Nº 211/2002 - PDC Nº 1.621/2002,CD04,ordinary,8,ordinary,152,263,2,0,0
51-779.TX,2002-05-09T11:53:52,PL Nº 1037/1999 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO,CD04,ordinary,9,extraordinary,3,6,2,39,0
51-781.TX,2002-06-18T19:35:44,RECURSO Nº 238/02 - QUESTÃO DE ORDEM - DEP. PROF. LUIZINHO - MPV Nº 35/2002,CD04,ordinary,13,ordinary,149,211,1,0,0
51-789.TX,2002-11-05T18:40:00,MPV Nº 44/2002 - PROJETO DE LEI DE CONVERSÃO,CD04,ordinary,19,ordinary,117,192,2,0,0
