vote_event_id,voter_id,option,group_id
51-692.TX,51-471,yes,pmdb
51-692.TX,51-231,yes,ppb
51-692.TX,51-623,yes,psdb
51-692.TX,51-230,yes,psdb
51-692.TX,51-140,no,psb
51-692.TX,51-14,yes,ptb
51-692.TX,51-131,yes,pfl
51-692.TX,51-22,yes,pmdb
51-692.TX,51-612,yes,psdb
51-692.TX,51-73,yes,ppb
51-692.TX,51-232,yes,pfl
51-692.TX,51-353,yes,pps
51-692.TX,51-477,yes,ppb
51-692.TX,51-493,no,pdt
51-692.TX,51-132,yes,ppb
51-692.TX,51-532,yes,pt
51-692.TX,51-190,yes,pl
51-692.TX,51-415,no,pmdb
51-692.TX,51-563,yes,pfl
51-692.TX,51-47,no,pdt
51-692.TX,51-15,no,psb
51-692.TX,51-590,no,psb
51-692.TX,51-11,yes,psdb
51-692.TX,51-191,yes,ptb
51-692.TX,51-478,no,pdt
51-692.TX,51-233,yes,pmdb
51-692.TX,51-141,yes,pt
51-692.TX,51-296,yes,pt
51-692.TX,51-297,yes,ptb
51-692.TX,51-354,no,psdc
51-692.TX,51-496,yes,ppb
51-692.TX,51-274,yes,psdb
51-692.TX,51-514,yes,pt
51-692.TX,51-447,yes,pt
51-692.TX,51-36,yes,pfl
51-692.TX,51-181,yes,pfl
51-692.TX,51-63,yes,pmdb
51-692.TX,51-75,no,pmdb
51-692.TX,51-417,no,pmdb
51-692.TX,51-23,yes,ppb
51-692.TX,51-479,yes,pfl
51-692.TX,51-357,yes,pfl
51-692.TX,51-234,yes,pt
51-692.TX,51-25,no,pdt
51-692.TX,51-166,no,psb
51-692.TX,51-236,yes,pmdb
51-692.TX,51-143,no,psb
51-692.TX,51-450,yes,pmdb
51-692.TX,51-613,yes,psdb
51-692.TX,51-194,no,pcdob
51-692.TX,51-549,yes,psdb
51-692.TX,51-498,yes,pt
51-692.TX,51-114,yes,pfl
51-692.TX,51-235,yes,ppb
51-692.TX,51-448,yes,pmdb
51-692.TX,51-360,yes,pt
51-692.TX,51-124,yes,ptb
51-692.TX,51-238,yes,ppb
51-692.TX,51-308,yes,pfl
51-692.TX,51-62,yes,pmdb
51-692.TX,51-53,yes,psdb
51-692.TX,51-94,no,pcdob
51-692.TX,51-135,yes,psdb
51-692.TX,51-145,yes,pfl
51-692.TX,51-455,yes,ptb
51-692.TX,51-174,no,pps
51-692.TX,51-188,yes,pfl
51-692.TX,51-240,yes,pfl
51-692.TX,51-302,no,ppb
51-692.TX,51-359,yes,pt
51-692.TX,51-196,yes,pfl
51-692.TX,51-197,yes,pt
51-692.TX,51-198,yes,psdb
51-692.TX,51-167,abstain,pl
51-692.TX,51-585,yes,pfl
51-692.TX,51-72,yes,psdb
51-692.TX,51-275,yes,pt
51-692.TX,51-591,no,pdt
51-692.TX,51-433,yes,pt
51-692.TX,51-115,yes,pmdb
51-692.TX,51-364,yes,pps
51-692.TX,51-199,yes,ppb
51-692.TX,51-534,yes,pt
51-692.TX,51-473,yes,pmdb
51-692.TX,51-304,yes,pfl
51-692.TX,51-361,yes,pt
51-692.TX,51-309,no,pdt
51-692.TX,51-54,yes,ppb
51-692.TX,51-156,yes,pfl
51-692.TX,51-192,yes,pmdb
51-692.TX,51-175,yes,pmdb
51-692.TX,51-310,yes,pt
51-692.TX,51-201,yes,pfl
51-692.TX,51-526,yes,pmdb
51-692.TX,51-362,yes,pmdb
51-692.TX,51-305,yes,psdb
51-692.TX,51-76,no,psb
51-692.TX,51-276,yes,ptb
51-692.TX,51-273,yes,pfl
51-692.TX,51-457,yes,ptb
51-692.TX,51-147,yes,pmdb
51-692.TX,51-367,yes,pt
51-692.TX,51-96,yes,ppb
51-692.TX,51-200,yes,pmdb
51-692.TX,51-241,yes,ptb
51-692.TX,51-150,yes,psdb
51-692.TX,51-97,yes,pt
51-692.TX,51-391,no,pdt
51-692.TX,51-203,yes,pfl
51-692.TX,51-169,yes,pfl
51-692.TX,51-29,yes,ptb
51-692.TX,51-499,yes,ppb
51-692.TX,51-369,yes,psdb
51-692.TX,51-418,yes,pl
51-692.TX,51-17,no,pmdb
51-692.TX,51-206,yes,psdb
51-692.TX,51-564,yes,pfl
51-692.TX,51-605,no,psb
51-692.TX,51-125,yes,pmdb
51-692.TX,51-370,no,pmdb
51-692.TX,51-311,yes,pfl
51-692.TX,51-121,yes,pfl
51-692.TX,51-98,yes,psdb
51-692.TX,51-204,yes,pmdb
51-692.TX,51-243,no,psl
51-692.TX,51-481,yes,pt
51-692.TX,51-157,no,psl
51-692.TX,51-4,yes,pfl
51-692.TX,51-453,yes,pfl
51-692.TX,51-608,yes,pt
51-692.TX,51-500,yes,ppb
51-692.TX,51-603,yes,pt
51-692.TX,51-341,no,ptb
51-692.TX,51-422,no,pmdb
51-692.TX,51-454,yes,psdb
51-692.TX,51-170,yes,ptb
51-692.TX,51-42,yes,ppb
51-692.TX,51-207,yes,pfl
51-692.TX,51-151,yes,psdb
51-692.TX,51-298,yes,psdb
51-692.TX,51-313,yes,pt
51-692.TX,51-371,no,psb
51-692.TX,51-100,yes,psdb
51-692.TX,51-435,yes,pmdb
51-692.TX,51-376,no,pmdb
51-692.TX,51-110,yes,pmdb
51-692.TX,51-99,yes,pmdb
51-692.TX,51-55,no,pps
51-692.TX,51-461,yes,ptb
51-692.TX,51-247,yes,ppb
51-692.TX,51-56,yes,pt
51-692.TX,51-524,no,pmdb
51-692.TX,51-501,yes,pt
51-692.TX,51-244,yes,pt
51-692.TX,51-567,yes,pl
51-692.TX,51-250,yes,pst
51-692.TX,51-210,yes,ppb
51-692.TX,51-436,yes,psdb
51-692.TX,51-600,yes,pmdb
51-692.TX,51-559,yes,pmdb
51-692.TX,51-252,yes,pmdb
51-692.TX,51-281,no,ptb
51-692.TX,51-373,yes,pl
51-692.TX,51-552,yes,psdb
51-692.TX,51-380,yes,pmdb
51-692.TX,51-586,yes,pfl
51-692.TX,51-374,yes,pmdb
51-692.TX,51-316,yes,pt
51-692.TX,51-317,no,pdt
51-692.TX,51-462,yes,pmdb
51-692.TX,51-377,yes,pfl
51-692.TX,51-101,yes,pfl
51-692.TX,51-402,yes,ptb
51-692.TX,51-117,no,pfl
51-692.TX,51-24,yes,pmdb
51-692.TX,51-248,yes,psdb
51-692.TX,51-77,no,pdt
51-692.TX,51-378,yes,pmdb
51-692.TX,51-458,yes,ppb
51-692.TX,51-548,yes,psdb
51-692.TX,51-209,yes,pt
51-692.TX,51-507,yes,pps
51-692.TX,51-437,yes,ptb
51-692.TX,51-379,yes,pfl
51-692.TX,51-78,yes,pfl
51-692.TX,51-254,yes,pt
51-692.TX,51-57,yes,pt
51-692.TX,51-424,yes,pmdb
51-692.TX,51-255,yes,ppb
