id,name,abbreviation,votes
10,Pravá volba pro Plzeň,PVP,yes
8,Občanská demokratická strana,ODS,yes
9,Plzeň pro sport,Pro sport,yes
13,Strana svobodných občanů,Svobodní,yes
6,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,yes
14,TOP 09,TOP 09,yes
4,DSSS - Za Plzeň bez hazardu a nepřízpůsobivých,DSSS,yes
3,Demokratická strana zelených a nezávislí kandidáti-sdružení DSZ a NK,DSZ,yes
16,Volební strana REPUBLIKA,Republika,yes
17,Změna pro Plzeň,Změna,yes
1,ANO 2011,ANO,yes
5,Komunistická strana Čech a Moravy,KSČM,yes
11,"Společně za Plzeň-koalice Plzeňské aliance, Piráti, Změna, STAN a SZ",Společně,yes
15,"VEŘEJNÉ ZÁJMY PLZNĚ s podporou Iniciativy za levnější MHD, spolku P-FANS a Úsvit",VZ,yes
2,Česká strana sociálně demokratická,ČSSD,no
7,Občané patrioti,OP,no
12,Strana Práv Občanů,SPO,no
